database,type,year,itle,authors,keywords,pages,abstract
COMPENDEX,Conference article (CA),2018,Model based approach for testing: Distributed real-time systems augmented with online monitors,"Pal, Deepak (1); Vain, Jüri (1)",Geographical distribution - Distributed database systems - Integration testing - Model checking - Online systems - Interactive computer systems - Distributed computer systems - Real time systems,16,"Testing distributed systems requires an integration of computation, communication and control in the test architecture. This may pose number of issues that may not be suitably addressed by traditional centralized test architectures. In this paper, a distributed test framework for testing distributed real-time systems is presented, where online monitors (executable code as annotations) are integrated to systems to record relevant events. The proposed test architecture is more scalable than centralized architectures in the sense of timing constraints and geographical distribution. By assuming the existence of a coverage correct centralized remote tester, we give a partitioning algorithm of it to produce distributed local testers which enables to meet more flexible performance constraints while preserving the remote tester’s functionality. The proposed approach not only preserves the correctness of the centralized tester but also allows to meet stronger timing constraints for solving test controllability and observability issues. The effectiveness of the proposed architecture is demonstrated by an illustrative example. © Springer Nature Switzerland AG 2018."
COMPENDEX,Journal article (JA),2023,"Three birds with one stone: Contemporaneously boosting passive, active and self-healing properties for long-term anticorrosion coatings","Cheng, Meng (1); Liu, Junhao (1); Liu, Yuqi (1); Jiang, Hao (1); Li, Chunling (1, 2); Sun, Shuangqing (1, 2); Hu, Songqing (1, 2)",Birds - Composite coatings - Copper compounds - Copper corrosion - Corrosion inhibitors - Electrolytic reduction - Graphene - Oxygen - Self-healing materials - Silica - Sodium chloride,,"Stimuli-responsive coatings can self-repair their own anticorrosion function in response to environmental changes, but they do not exhibit ideal long-term protective effect due to the lack of ability to regulate corrosive media, while this is vital to practical metal protection. Inspired by catalytic oxygen reduction, Cu-N center doped graphene oxide grafted with hollow periodic mesoporous organosilica nanocontainer (MBT@HPMO/Cu-GO) is synthesized via facile adsorption-pyrolysis strategy. Herein, introduced MBT@HPMO/Cu-GO is to simultaneously endow coatings with corrosive media shielding, active oxygen consumption and stimuli-responsive functions, thus 'three birds with one stone'. The target catalyst exhibits excellent oxygen depletion performance (half-wave potential of 0.85 V) and is uniformly dispersed in the coating to construct steric hindrance against corrosive media. This dual effect allows composite coating to maintain the excellent anticorrosion performance over 60 days under oxygen environment. In addition, MBT@HPMO/Cu-GO can release inhibitor at corrosion sites in response to environment change when coating is damaged, so as to restore the protective ability of coating, with impedance increased from 2.4 × 107 Ω·cm2 to 1.5 × 108 Ω·cm2. Such multifunctional coating exploration overcomes the protective limitation of current self-healing coatings and sheds light on the design of intelligent long-term anticorrosion coatings. © 2023 Elsevier B.V."
COMPENDEX,Conference article (CA),2014,"Experiences with formal engineering: Model-based specification, implementation and testing of a software bus at Neopost","Sijtema, M. (2); Belinfante, A. (1); Stoelinga, M.I.A. (1); Marinelli, L. (3)",Buses - Cost effectiveness - Formal methods - Cost engineering - Software testing,22,"We report on the actual industrial use of formal methods during the development of a software bus. During an internship at Neopost Inc., of 14 weeks, we developed the server component of a software bus, called the XBus, using formal methods during the design, validation and testing phase: we modeled our design of the XBus in the process algebra mCRL2, validated the design using the mCRL2-simulator, and fully automatically tested our implementation with the model-based test tool JTorX. This resulted in a well-tested software bus with a maintainable architecture. Writing the model (mdev), simulating it, and testing the implementation with JTorX only took 17% of the total development time. Moreover, the errors found with model-based testing would have been hard to find with conventional test methods. Thus, we show that formal engineering can be feasible, beneficial and cost-effective. The findings above, reported earlier by us in (Sijtema et al., 2011) [1], were well-received, also in industrially oriented conferences (Ferreira and Romanenko, 2010) [2] and [3]. In this paper, we look back on the case study, and carefully analyze its merits and shortcomings. We reflect on (1) the added benefits of model checking, (2) model completeness and (3) the quality and performance of the test process. Thus, in a second phase, after the internship, we model checked the XBus protocol - this was not done in [1] since the Neopost business process required a working implementation after 14 weeks. We used the CADP tool evaluator4 to check the behavioral requirements obtained during the development. Model checking did not uncover errors in model mdev, but revealed that model mdev was neither complete nor optimized: in particular, requirements to the so-called bad weather behavior (exceptions, unexpected inputs, etc.) were missing. Therefore, we created several improved models, checked that we could validate them, and used them to analyze quality and performance of the test process. Model checking was expensive: it took us approx. 4 weeks in total, compared to 3 weeks for the entire model-based testing approach during the internship. In the second phase, we analyzed the quality and performance of the test process, where we looked at both code and model coverage. We found that high code coverage (almost 100%) is in most cases obtained within 1000 test steps and 2 minutes, which matches the fact that the faults in the XBus were discovered within a few minutes. Summarizing, we firmly believe that the formal engineering approach is cost-effective, and produces high quality software products. Model checking does yield significantly better models, but is also costly. Thus, system developers should trade off higher model quality against higher costs. © 2013 Elsevier B.V. All rights reserved."
COMPENDEX,Conference article (CA),2013,Fifty shades of grey in SOA testing,"Wotawa, Franz (1); Schulz, Marco (1); Pill, Ingo (1); Jehan, Seema (1); Leitner, Philipp (2); Hummer, Waldemar (2); Schulte, Stefan (2); Hoenisch, Philipp (2); Dustdar, Schahram (2)",Black-box testing - Model checking - Information services - Service oriented architecture (SOA),4,"Testing is undisputedly a fundamental verification principle in the software landscape. Today's products require us to effectively handle and test huge, complex systems and in this context to tackle challenging traits like heterogeneity, distribution and controllability to name just a few. The advent of Service-Oriented Architectures with their inherent technological features like dynamics and heterogeneity exacerbated faced challenges, requiring us to evolve our technology. The traditional view of white or black box testing, for example, does not accommodate the multitude of shades of grey one should be able to exploit effectively for system-wide tests. Today, while there are a multitude of approaches for testing single services, there is still few work on methodological system tests for SOAs. In this paper we propose a corresponding workflow for tackling SOA testing and diagnosis, discuss SOA test case generation in more detail, and report preliminary research in that direction. © 2013 IEEE."
COMPENDEX,Conference article (CA),2014,"Software paradigms, assessment types and non-functional requirements in model-based integration testing: A systematic literature review","Häser, Florian (1); Felderer, Michael (1); Breu, Ruth (1)",Embedded systems - Model checking - Interoperability - Stochastic systems - Cyber Physical System - Integration - Safety testing,,"Context: In modern systems, like cyber-physical systems, where software and physical services are interacting, safety, security or performance play an important role. In order to guarantee the correct interoperability of such systems, with respect to functional and non-functional requirements, integration testing is an effective measure to achieve this. Model-based testing moreover not only enables early definition and validation, but also test automation. This makes it a good choice to overcome urgent challenges of integration testing. Objective: Many publications on model-based integration testing (MBIT) approaches can be found. Nevertheless, a study giving a systematic overview on the underlying software paradigms, measures for guiding the integration testing process as well as non-functional requirements they are suitable for, is missing. The aim of this paper is to find and synthesize the relevant primary studies to gain a comprehensive understanding of the current state of model-based integration testing. Method: For synthesizing the relevant studies, we conducted a systematic literature review (SLR) according to the guidelines of Kitchenham. Results: The systematic search and selection retrieved 83 relevant studies from which data has been extracted. Our review identified three assessment criteria for guiding the testing process, namely static metrics, dynamic metrics and stochastic &random. In addition it shows that just a small fraction considers non-functional requirements. Most approaches are for component-oriented systems. Conclusion: Results from the SLR show that there are two major research gaps. First, there is an accumulated need for approaches in the MBIT field that support non-functional requirements, as they are gaining importance. Second, means for steering the integration testing process, especially together with automation, need to evolve. Copyright 2014 ACM."
COMPENDEX,Conference article (CA),2016,Examining the co-evolution relationship between Simulink Models and their test cases,"Rapos, Eric J. (1); Cordy, James R. (1)",Testing - Model checking,7,"This paper presents an industrial case study that explores the co-evolution relationship between Matlab Simulink Models and their associated test suites. Through an analysis of differences between releases of both the models and their tests, we are able to determine what the relation between the model evolution and test evolution is, or if one exists at all. Using this comparison methodology, we present empirical results from a production system of 64 Matlab Simulink Models evolving over 9 releases. In our work we show that in this system there is a strong co-evolution relationship (a correlation value of r = 0:9; p © 2016 ACM."
COMPENDEX,Conference article (CA),2017,Test case/step minimization for visual programming language models and its application to space systems,"Santos Alarcon, Paulo Nolberto Dos (1); Santiago, Valdivino Alexandre De (1)",Specifications - Visual languages - Orbits - Software testing - Efficiency,16,"Visual Programming Languages have been widely used in the context of Model-Based Development, and they find a particular appeal for the design of satellite subsystems, such as the Attitude and Orbit Control Subsystem (AOCS) which is an extremely complex part of a spacecraft. The software testing community has been trying to ensure high quality products with as few defects as possible. Given that exhaustive generation and execution of software test cases are unfeasible in practice, one of the initiatives is to reduce the sets of test cases required to test a Software/System Under Test, while still maintaining the efficiency (ability to find product defects, code coverage). This paper presents a new methodology to generate test cases for Visual Programming Language models, aiming at minimizing the set of test cases/steps but maintaining efficiency. The approach, called specification Patterns, modified Condition/Decision coverage, and formal Verification to support Testing (PCDVT), combines the Modified Decision/Condition Coverage (MC/DC) criterion, Model Checking, specification patterns, and a minimization approach by identifying irreplaceable tests in a single method, taking advantage of the benefits of all these efforts in a unified strategy. Results showed that two instances of PCDVT presented a lower cost (smaller number of test steps) and, basically, the same efficiency (model coverage) if compared with a specialist ad hoc approach. We used the AOCS model of a Brazilian satellite in order to make the comparison between the methods. © Springer International Publishing AG 2017."
COMPENDEX,Conference article (CA),2016,Evolving the ETSI test description language,"Makedonski, Philip (1); Adamis, Gusztáv (2); Käärik, Martti (3); Kristoffersen, Finn (4); Zeitoun, Xavier (5)",Model checking - Modeling languages - Integration testing,16,"Increasing software and system complexity due to the integration of more and more diverse sub-systems presents new testing challenges. Standardisation and certification requirements in certain domains such as telecommunication, automotive, aerospace, and health-care contribute further challenges for testing systems operating in these domains. Consequently, there is a need for suitable methodologies, processes, languages, and tools to address these testing challenges. To address some of these challenges, the Test Description Language (TDL) has been developed at the European Telecommunications Standards Institute (ETSI) over the past three years. TDL bridges the gap between declarative test purposes and imperative test cases by offering a standardised language for the specification of test descriptions. TDL started as a standardised meta-model, subsequently enriched with a graphical syntax, exchange format, and a UML profile. A reference implementation of TDL has been developed as a common platform to accelerate the adoption of TDL and lower the barrier to entry for both end-users and tool-vendors. This article tells the story of the evolution of TDL from its conception. © Springer International Publishing AG 2016."
COMPENDEX,Journal article (JA),2023,Anticorrosion Coating with Heterogeneous Assembly of Nanofillers Modulated by a Magnetic Field,"Pengpeng, Lu (1); Xue, Fu (2); Xin, Li (2); Li, Xu (2); Fan, Yong (2); Zhao, Jie (1); Tian, Limei (1); Sun, Jiyu (1); Ren, Luquan (1)",Corrosion inhibitors - Corrosion rate - Magnetic fields - Magnetite - Mica - Nanomagnetics - Nanoparticles - Passivation,14,"An anticorrosive coating with randomly distributed passive barriers and regionally enriched active corrosion inhibitors is developed by integrating mica nanosheets (MNSs) and magnetic-responsive core-shell mesoporous nanoparticles with 2-mercaptobenzothiazole (Fe3O4@mSiO2/MBT) under magnetic field incubation. The bottom enriched Fe3O4@mSiO2/MBT rapidly releases the MBT to form a passivation layer on corrosion sites, enhancing the corrosion inhibition efficiency by 30.36% compared with the control (NP0.7EP-R). The impedance modulus |Z|0.01 Hz of the sample (NP0.7/MNS0.5/EP) increases by five orders of magnitude compared with that of its control (NP0.7/MNS0EP) after 30 days of corrosion immersion. NP0.7/MNS0.5/EP exhibited the lowest corrosion rate (3.984 × 10-5 mm/year) as compared to the other samples. Notably, the coating in a fractured state still maintains superior corrosion inhibition even after 40 day salt spray testing. The differentiated distribution of nanofillers was well confirmed by optical microscopy and SEM-EDS, and the synergistic effect of the active/passive integrated anticorrosive coating with merits of both comprehensive protection and fast responsiveness was systematically explored. © 2023 American Chemical Society."
COMPENDEX,Conference article (CA),2013,XSS pattern for attack modeling in testing,"Bozic, Josip (1); Wotawa, Franz (1)",Application programs - Program debugging - Software design - Model checking - Software testing,4,"Security issues of web applications are still a current topic of interest especially when considering the consequences of unintended behaviour. Such services might handle sensitive data about several thousands or millions of users. Hence, exploiting services or other undesired effects that cause harm on users has to be avoided. Therefore, for software developers of such applications one of the major tasks in providing security is to embed testing methodologies into the software development cycle, thus minimizing the subsequent damage resulting in debugging and time intensive upgrading. Model-based testing evolved as one of the methodologies which offer several theoretical and practical approaches in testing the system under test (SUT) that combine several input generation strategies like mutation testing, using of concrete and symbolic execution etc. by putting the emphasis on specification of the model of an application. In this work we propose an approach that makes use of an attack pattern model in form of a UML state machine for test case generation and execution. The paper also discusses the current implementation of our attack pattern testing tool using a XSS attack pattern and demonstrates the execution in a case study. © 2013 IEEE."
COMPENDEX,Conference article (CA),2023,Comparative study on model based test of automotive automatic control system,"Gao, Zhenhua (1)",Automation - Model checking - Software testing,5,"In today's automotive industry, due to the increasingly complex nature of ECUs, there is a great need to create a model that can be tested early to maintain functional functioning. However, there are not many solutions that teach us how to organize and run these tests for maximum coverage. This article evaluates prototype CANoe+, which maximizes the coverage of test cases generated using the CANoe and GraphWalker tools from the perspective of software developers and software testers. CANoe+ was significantly more effective than CANOE alone when the Mann-Whitney Wilcoxon statistical test was used in the experiment. Such experimental results add to the existing evidence and demonstrate the irreplaceable advantages of using model-based testing techniques such as C.. © 2023 IEEE."
COMPENDEX,Conference article (CA),2014,Co-evolution of model-based tests for industrial automotive software,"Rapos, Eric J. (1)",Model checking - Software testing,663,"Model-based software is evolving at an increasing rate, and this has an impact on model-based test suites, often causing unnecessary regeneration of tests. Our work proposes that by examining evolution patterns of Simulink automotive models and their associated test models we can identify the direct impacts of evolution on the tests. Using these evolution patterns, we propose the design of a process to ensure that as a Simulink model evolves its associated test models are automatically adapted, requiring minimal computation. This will lead to the development of a prototype tool capable of performing this model-based test co-evolution of tests alongside source models and presenting results to test engineers. © 2014 IEEE."
COMPENDEX,Journal article (JA),2022,High Moisture Stability for Enhanced Quality Perovskite Solar Cells Induced by Front and Back Layer Synergistic Passivation of Perovskite,"Gong, Xiaoli (1); Li, Haimin (1); Liu, Xingchong (1); Wang, Hanyu (1); Ni, Yafei (1); Lei, Yue (1); Zhou, Ruonan (1); Zou, Wenjing (1); Tang, Yanling (1); Liu, Shuqian (1)",Durability - Efficiency - Humidity control - Layered semiconductors - Lead compounds - Passivation - Perovskite solar cells - Stability,,"Moisture stability is one of the key factors that hinders the commercialization of perovskite solar cells (PSCs). Herein, a new method of front and back layer synergistic passivation of perovskite is investigated. On the front layer, porous PbI2 nanostructures are induced by N-tert-butyl-2-benzothiazolesulfenamide (TBBS), which is added into PbI2 precursor solution and thermally decomposed to tert-butylamine (TBA) and 2-mercaptobenzothiazole (2-MBT) during annealing process. TBA volatilization leaves voids to induce porous PbI2, promoting diffusion of organic salts, facilitating crystallization of perovskite. Thickness of perovskite with TBBS doping increases from 527.7 to 561.2 nm, and the champion power conversion efficiency (PCE) increases from 19.71% to 20.97%. On the back layer, hydrophobic hole transport material PTAA is introduced onto perovskite surface to fill cation vacancies. Eventually, the highest efficiency of 22.35% with outstanding moisture stability is achieved after front and back layer synergistic passivation, which can maintain 71.14% of its initial efficiency after 7 days under high relative humidity (RH = 65 ± 2%) in ambient conditions without any encapsulation, while the control one can only remain 12.38%. © 2022 Wiley-VCH GmbH."
COMPENDEX,Journal article (JA),2022,3D Finite Element Study of the Physiological Anchorage Control Concept on Anchorage Molars in Lingual Orthodontics,"Zhao, Jiayuan (1); Su, Majing (1); Zhao, Qian (1); Liu, Jiajie (1); Wang, Junbin (1); Wang, Junjie (1); An, Xiaoli (1)",Anchorages (foundations) - Finite element method - Physiology - Tensile strength - Tensile stress,,"Objective. To study the effect of the physiological anchorage control concept on anchorage molars in lingual and labial orthodontic techniques. Methods. Three-dimensional finite element models, including the right maxillary first molar, periodontal ligament, alveolar bone, and buccal tube, were established. The models were divided into the McLaughlin-Bennett-Trevisi (MBT™) straight-wire model with 0-degree maxillary first molar axial inclination and the physiologic anchorage Speewire system (PASS) model with -7-degree maxillary first molar axial inclination. Simulated sliding retraction forces (1 N, 1.5 N, and 2 N) were loaded on the buccal side and lingual side, and retraction forces (0.5 N, 0.75 N, and 1 N) were loaded on the buccal and lingual sides simultaneously. The displacements, principal stresses, and von Mises stresses of the periodontal ligament under different conditions were derived. Results. The anchorage molars showed different degrees of rotation, tipping, intrusion, and extrusion. As the force increased, these displacement trends also increased. The mesial displacement of the buccal + lingual force loading was less than that of the other two groups. Under the same force load method, the mesial displacement of the PASS group was less than that of the MBT group. Tilt movement increases the tensile stress of the distal cervical margin and root mesial apical third and the compressive stress of the mesial cervical margin and root distal apical third. The maximum stress of the periodontal ligament was less than that of the other two groups when the lingual force was loaded. Conclusion. The physiological anchorage control concept in lingual orthodontics provides better sagittal anchorage control than in labial orthodontics, but there is no significant difference numerically. Attention should be given to the control of torsion, torque, and arch width. Tilt movement increases the PDL stress of the cervical margin and root apical third. The sliding retraction force should be loaded lingually to maintain the force value of 1∼1.5 N. © 2022 Jiayuan Zhao et al."
COMPENDEX,Journal article (JA),2022,Can the biological stage of a mechanical–biological treatment plant that is designed for mixed municipal solid waste be successfully utilized for effective composting of selectively collected biowaste?,"Bernat, Katarzyna (1); Kulikowska, Dorota (1); Wojnowska-Baryla, Irena (1); Kamiska, Anna (2)",Biochemical engineering - Biogeochemistry - Biological materials - Composting - Municipal solid waste - Organic compounds - Rate constants - Recycling - Stabilization - Waste treatment,11,"Although the requirements for overall recycling rates can only be met when organic recycling is not overlooked, information is scarce regarding adaption to biowaste composting of existing mechanical–biological treatment (MBT) plants originally designed for stabilization of organic municipal solid waste (OFMSW). Thus, this study aimed to assess the suitability of the operational conditions in the biological part of a full-scale MBT plant now used for stabilization of OFMSW (working line: closed-module–covered-pile–open-pile) with a view to producing compost from biowaste. Temperatures above 75 °C were maintained in the closed module and reached again in the covered pile, indicating that intensive organic-matter mineralization occurred in both stages. In the covered pile, the temperature sharply decreased, indicating depletion of easily biodegradable organic matter. An aerobic 4-day respiration test (AT4) value below 10 mg O2/g dry matter, the cut-off for assessing compost stability, was obtained after 8 weeks. However, a high content of humic substances (HS), reflecting compost maturity, was obtained only after 120 days. The increase in HS content proceeded in two phases. In the first phase (45–84 day), the rate constant and the rate of HS formation were lower than in the second phase (84–120 day) (0.072 vs. 0.087 day−1, 1.97 vs. 3.06 mg C/(g organic matter·d)). All the above-mentioned indicators and the nutrient content (N, P, K, Mg, Ca) in the compost indicates that the biological stage of an MBT plant can successfully treat biowaste. This is in accordance with a circular economy and will contribute to increasing recycling rates. © 2022 The Authors"
COMPENDEX,Conference article (CA),2014,Powertrain control verification benchmark,"Jin, Xiaoqing (1); Deshmukh, Jyotirmoy V. (1); Kapinski, James (1); Ueda, Koichi (1); Butts, Ken (1)",Benchmarking - Powertrains - Industrial research - Temporal logic - Control systems - Model checking,10,"Industrial control systems are often hybrid systems that are required to satisfy strict performance requirements. Verifying designs against requirements is a difficult task, and there is a lack of suitable open benchmark models to assess, evaluate, and compare tools and techniques. Benchmark models can be valuable for the hybrid systems research community, as they can communicate the nature and complexity of the problems facing industrial practitioners. We present a collection of benchmark problems from the automotive powertrain control domain that are focused on verification for hybrid systems; the problems are intended to challenge the research community while maintaining a manageable scale. We present three models of a fuel control system, each with a unique level of complexity, along with representative requirements in signal temporal logic (STL). We provide results obtained by applying a state of the art analysis tool to these models, and finally, we discuss challenge problems for the research community. Copyright is held by the owner/author(s)."
COMPENDEX,Conference article (CA),2018,Managing aircraft by trajectory: Literature review and lessons learned,"Leiden, Kenneth (1); Fernandes, Alicia (1); Atkins, Stephen (1)",Air transportation - Air traffic control - Automation - Aircraft - Air navigation,9,"In order to realize the full potential of the Next Generation Air Transportation System (NextGen), improved management along planned trajectories between air navigation service providers (ANSPs) and system users (e.g., pilots and airline dispatchers) is needed. Automation improvements and increased data communications between aircraft and ground automation would make the concept of Management by Trajectory (MBT) possible. Key components of the MBT concept include: • The ability for air traffic controllers and managers to quickly generate, evaluate and implement changes to an aircraft's trajectory. • Imposing constraints on flight operator-preferred trajectories only to the extent necessary to maintain safe and efficient traffic flows. • A method for the exchange of trajectory information between ground automation systems and the aircraft that allows for trajectory synchronization and trajectory negotiation. MBT addresses shortfalls that remain in the Trajectory Based Operations (TBO) solution set, despite years of research into various aspects of transitioning from the current airspace environment to TBO. This paper provides findings and insights from a literature survey of TBO-related concepts and technologies. These insights can be applied to improve the feasibility and ultimate adoption of MBT. © 2018 IEEE."
COMPENDEX,Conference article (CA),2020,Model-based knock prediction and its stochastic feedforward compensation,"Li, Ruixue C. (1); Zhu, Guoming G. (2)",Stochastic models - Stochastic systems,6,"This article studies the correlation between incylinder mixture temperature at intake valve closing and the engine knock, along with cycle-to-cycle knock variability based on a knock predictive model developed earlier. Based on the correlated stochastic relationship, a feedforward knock limit control strategy is developed to reduce the knock cycle-to-cycle variability and maintain the knock mean-intensity within a desired up bound while keeping spark timing close to engine MBT (maximum brake torque) timing as close as possible. The proposed feedforward control strategy is evaluated based on the knock predictive model in terms of knock mean-intensity and standard deviation and demonstrated its capability of reducing the knock cycle-to-cycle variability under the knock intensity constraint. © 2020 IEEE."
COMPENDEX,Conference article (CA),2020,Improving Heavy Duty Natural Gas Engine Efficiency: A Systematic Approach to Application of Dedicated EGR,"Kocsis, Michael C. (1); Mitchell, Robert (1); Moiz, Ahmed Abdul (1); Kalaskar, Vickey (1); Williams, D. Ryan (1); Sjovall, Scott (1)",Carbon dioxide - Ignition - Gas engines - Natural gas,,"The worldwide trend of tightening CO2 emissions standards and desire for near zero emissions is driving development of high efficiency natural gas engines for a low CO2 replacement of traditional diesel engines. A Cummins Westport ISX12 G was previously converted to a Dedicated EGR® (D-EGR®) configuration with two out of the six cylinders acting as the EGR producing cylinders. Using a systems approach, the combustion and turbocharging systems were optimized for improved efficiency while maintaining the potential for achieving 0.02 g/bhp-hr NOX standards. A prototype variable nozzle turbocharger was selected to maintain the stock torque curve. The EGR delivery method enabled a reduction in pre-turbine pressure as the turbine was not required to be undersized to drive EGR. A high energy Dual Coil Offset (DCO®) ignition system was utilized to maintain stable combustion with increased EGR rates. High compression ratio, reduced squish pistons were designed to maintain MBT combustion phasing and fast burn rates along the torque curve. The final engine configuration was tested on the Heavy-Duty Supplemental Emissions Test (SET), a 13-mode steady-state engine dynamometer test. The engine was able to achieve a weighted average efficiency improvement of 12% over the baseline configuration with a peak BTE of 41.7%. © 2020 SAE International. All Rights Reserved."
COMPENDEX,Journal article (JA),2020,"Polymeric Films for the Encapsulation, Storage, and Tunable Release of Therapeutic Microbes","Qiu, Kunyu (1); Young, Isabella (1); Woodburn, Blaide M. (2); Huang, Yirui (1); Anselmo, Aaron C. (1)",Controlled drug delivery - Targeted drug delivery - Semiconducting films - Functional polymers - Bacteria,,"Microbe-based therapeutics (MBTs) are an emerging therapeutic modality for treating gastrointestinal infections and inflammatory bowel diseases. Current formulations for oral delivery of MBTs use capsules to achieve safe gastric transit, but oral formulations that control the spatiotemporal concentration of MBTs are yet to be developed, despite well-established connections between all therapeutics and their location, concentration, and distribution at sites of action. The development of a multi-functional polymer-based encapsulation system to formulate MBTs for enhanced storage and delivery through formulation of a model MBT, Lactobacillus casei ATCC393, is reported here. This approach enables the additive inclusion of excipients and polymers to grant specific functions, toward the development of a modular MBT platform. Through addition of established excipients, the formulation provides long-term storage of the encapsulated MBT. By adding higher molecular weight polymers, the release kinetics of the encapsulated MBTs can be modified. The inclusion of a mucoadhesive polymer significantly increases the adhesion force between the formulation and the intestinal tissue. Together, mucoadhesive and sustained release properties can be used to modulate the spatiotemporal concentration of MBTs. The formulation is compatible with standard oral capsules, thus maintaining existing clinical advantages of oral capsules while providing new functions from film encapsulation. © 2020 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim"
COMPENDEX,Journal article (JA),2018,An investigation on utilization of biogas and syngas produced from biomass waste in premixed spark ignition engine,"Kan, Xiang (1, 2); Zhou, Dezhi (3); Yang, Wenming (3); Zhai, Xiaoqiang (4); Wang, Chi-Hwa (2)",Computational fluid dynamics - Anaerobic digestion - Thermal efficiency,13,"Syngas and biogas are two typical biofuels generated from biomass wastes through gasification and anaerobic digestion processes, which are considered to be the future fuels for IC engines. In this work, the utilization of biogas and syngas produced from horticultural waste in a premixed spark ignition engine was investigated. An experimentally validated KIVA4-based CFD simulation integrated with CHEMKIN was performed to evaluate engine performance fuelled by syngas and biogas under both single and blended-fuel modes. Effects of ignition timing, hydrogen content in syngas and methane content in biogas on both energetic and environmental performance have been studied. The indicated thermal efficiency (ITE) of syngas fueled engine at wide open throttle (WOT) condition under maximum brake torque (MBT) operation was found to be higher than that of biogas fueled engine, meanwhile, with much lower NOx emission. In addition, a comparison of the engine performance between the single and blended-fuel modes under different syngas mixing ratios was conducted in terms of ITE and NOX emission. The results suggest that the utilization of syngas and biogas under blended-fuel mode can not only maintain the MBT energetic performance under single-fuel mode, but also show its potential in reducing NOx emission and lessening the tendency of knock onset. © 2017 Elsevier Ltd"
COMPENDEX,Conference proceeding (CP),2022,"RCIS-WS and RP 2022 - Joint Proceedings of RCIS 2022 Workshops and Research Projects Track, co-located with the 16th International Conference on Research Challenges inInformation Science, RCIS 2022",,,,The proceedings contain 19 papers. The topics discussed include: a proposal for measuring understandability of business process models; an approach for model based testing of augmented reality applications; a methodology for modeling digital transformation of organizations to integrate automated decision-making tools based on artificial intelligence; Electrospindle 4.0: towards zero defect manufacturing of spindles; ENACTEST - European innovation alliance for testing education; SCIBA - a prototype of the computerized cartographic system of an archaeological bibliography; the morphemic project and its unified user interface; and towards AIDOaRT objectives via joint model-based architectural effort.
COMPENDEX,Journal article (JA),2016,Plant Assimilation Kinetics and Metabolism of 2-Mercaptobenzothiazole Tire Rubber Vulcanizers by Arabidopsis,"LeFevre, Gregory H. (1, 2, 5); Portmann, Andrea C. (1, 2, 4); Müller, Claudia E. (1, 2); Sattely, Elizabeth S. (1, 3); Luthy, Richard G. (1, 2)",Biomolecules - Rubber - Soil conservation - Hydroponics - Metabolites - Water conservation - Seed,10,"2-Mercaptobenzothiazole (MBT) is a tire rubber vulcanizer found in potential sources of reclaimed water where it may come in contact with vegetation. In this work, we quantified the plant assimilation kinetics of MBT using Arabidopsis under hydroponic conditions. MBT depletion kinetics in the hydroponic medium with plants were second order (t1/2 = 0.52 to 2.4 h) and significantly greater than any abiotic losses (>18 times faster; p = 0.0056). MBT depletion rate was related to the initial exposure concentration with higher rates at greater concentrations from 1.6 μg/L to 147 μg/L until a potentially inhibitory level (1973 μg/L) lowered the assimilation rate. 9.8% of the initial MBT mass spike was present in the plants after 3 h and decreased through time. In-source LC-MS/MS fragmentation revealed that MBT was converted by Arabidopsis seedlings to multiple conjugated-MBT metabolites of differential polarity that accumulate in both the plant tissue and hydroponic medium; metabolite representation evolved temporally. Multiple novel MBT-derived plant metabolites were detected via LC-QTOF-MS analysis; proposed transformation products include glucose and amino acid conjugated MBT metabolites. Elucidating plant transformation products of trace organic contaminants has broad implications for water reuse because plant assimilation could be employed advantageously in engineered natural treatment systems, and plant metabolites in food crops could present an unintended exposure route to consumers. © 2015 American Chemical Society."
COMPENDEX,Journal article (JA),2022,Experimental investigation of water injection and spark timing effects on combustion and emissions of a hybrid hydrogen-gasoline engine,"Qian, Lijun (1, 2); Wan, Juye (1); Qian, Yejian (1); Sun, Yu (1); Zhuang, Yuan (1)",Gasoline - Direct injection - Timing circuits,,"This paper aimed to study the effects of water injection and spark timing on performance of a hybrid hydrogen-gasoline engine. For this aim, a modified four-cylinder turbocharged gasoline direct injection (GDI) engine equipped with hydrogen port injection and port water injection system was developed. In this study, the engine speed was maintained at 1300 rpm and the throttle opening of 30% with an excess air/fuel ratio of 1. The hydrogen energy percentage of 15%, water fuel mass ratio of 0.2 and 0.4 was added into the intake port. When the hydrogen energy percentage was changed, the gasoline fraction was also adjusted to keep the mixture at the stoichiometric. For all tested conditions, the spark timing was varied from 1 to 42°CA before top dead center (BTDC) with a fixed interval of 2°CA. Experimental results showed that maximum brake torque (MBT) spark timing varied when water and/or hydrogen is added. With hydrogen addition, the worsened combustion caused by water injection can be improved. Also, the variation of IMEP and COVIMEP versus spark timing became more insensitive with hydrogen addition. With water injection, the high NO emission caused by hydrogen addition can be largely reduced, however with side effect of higher HC and CO emissions. © 2022 Elsevier Ltd"
