Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Keywords,Pages,Abstract
An Architecture for Automated Security Test Case Generation for MQTT Systems,Database and Expert Systems Applications,,,,10.1007/978-3-030-59028-4_5,Hannes SochorFlavio FerrarottiRudolf Ramler,2020,http://link.springer.com/chapter/10.1007/978-3-030-59028-4_5,Chapter,"Automated testing, IoT, MQTT, Security testing",10,"Message Queuing Telemetry Transport (MQTT) protocol is among the preferred publish/subscribe protocols used for Machine-to-Machine (M2M) communication and Internet of Things (IoT). Although the MQTT protocol itself is quite simple, the concurrent iteration of brokers and clients and its intrinsic non-determinism, coupled with the diversity of platforms and programming languages in which the protocol is implemented and run, makes the necessary task of security testing challenging. We address precisely this problem by proposing an architecture for security test generation for systems relying on the MQTT protocol. This architecture enables automated test case generation to reveal vulnerabilities and discrepancies between different implementations. As a desired consequence, when implemented, our architectural design can be used to uncover erroneous behaviours that entail latent security risks in MQTT broker and client implementations. In this paper we describe the key components of our architecture, our prototypical implementation using a random test case generator, core design decisions and the use of security attacks in testing. Moreover, we present first evaluations of the architectural design and the prototypical implementation with encouraging initial results."
"Uncertainty, Modeling and Safety Assurance: Towards a Unified Framework","Verified Software. Theories, Tools, and Experiments",,,,10.1007/978-3-030-41600-3_2,Marsha ChechikSahar KokalyMona RahimiRick SalayTorin Viger,2020,http://link.springer.com/chapter/10.1007/978-3-030-41600-3_2,Chapter,,10,"Uncertainty occurs naturally in software systems, including those that are model-based. When such systems are safety-critical, they need to be assured, e.g., by arguing that the system satisfies its safety goals. But how can we rigorously reason about assurance in the presence of uncertainty? In this paper, we propose a vision for a framework for managing uncertainty in assurance cases for software systems, and in particular, for model-based software systems, by systematically identifying , assessing and addressing it. We also discuss a set of challenges that need to be addressed to realize this framework."
Learning Abstracted Non-deterministic Finite State Machines,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_4,Andrea PferscherBernhard K. Aichernig,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_4,Chapter,"Active automata learning, Model inference, MQTT, Non-deterministic finite state machines",10,"Active automata learning gains increasing interest since it gives an insight into the behavior of a black-box system. A crucial drawback of the frequently used learning algorithms based on Angluin’s $$L^*$$ L ∗ is that they become impractical if systems with a large input/output alphabet are learned. Previous work suggested to circumvent this problem by abstracting the input alphabet and the observed outputs. However, abstraction could introduce non-deterministic behavior. Already existing active automata learning algorithms for observable non-deterministic systems learn larger models if outputs are only observable after certain input/output sequences. In this paper, we introduce an abstraction scheme that merges akin states. Hence, we learn a more generic behavioral model of a black-box system. Furthermore, we evaluate our algorithm in a practical case study. In this case study, we learn the behavior of five different Message Queuing Telemetry Transport (mqtt) brokers interacting with multiple clients."
Language Inclusion for Finite Prime Event Structures,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-030-39322-9_15,Andreas FellnerThorsten TarrachGeorg Weissenbacher,2020,http://link.springer.com/chapter/10.1007/978-3-030-39322-9_15,Chapter,"Concurrency, Event structures, Language inclusion, Mutation-based test case generation",10,"We study the problem of language inclusion between finite, labeled prime event structures. Prime event structures are a formalism to compactly represent concurrent behavior of discrete systems. A labeled prime event structure induces a language of sequences of labels produced by the represented system. We study the problem of deciding inclusion and membership for languages encoded by finite prime event structures and provide complexity results for both problems. We provide a family of examples where prime event structures are exponentially more succinct than formalisms that do not take concurrency into account. We provide a decision algorithm for language inclusion that exploits this succinctness. Furthermore, we provide an implementation of the algorithm and an evaluation on a series of benchmarks. Finally, we demonstrate how our results can be applied to mutation-based test case generation."
Interrogating Virtual Agents: In Quest of Security Vulnerabilities,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_2,Josip BozicFranz Wotawa,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_2,Chapter,"Chatbots, Model-based testing, Security testing, Web applications",10,"Chatbots, i.e., systems that communicate in natural language, have been of increasing importance over the last few years. These virtual agents provide specific services or products to clients on a 24/7 basis. Chatbots provide a simple and intuitive interface, i.e., natural language processing, which makes them increasingly attractive for various applications. In fact, chatbots are used as substitutes for repetitive tasks or user inquiries that can be automated. However, these advantages always are accompanied with concerns, e.g., whether security and privacy can be assured. These concerns become more and more important, because in contrast to simple requests, more sophisticated chatbots are able to utilize personalized services to users. In such cases, sensitive user data are processed and exchanged. Hence, such systems become natural targets for cyber-attacks with unforeseen consequences. For this reason, assuring information security of chatbots is an important challenge in practice. In this paper, we contribute to this challenge and introduce an automated security testing approach for chatbots. The presented framework is able to generate and run tests in order to detect intrinsic software weaknesses leading to the XSS vulnerability. We assume a vulnerability to be triggered when obtaining critical information from or crashing the virtual agent, regardless of its purpose. We discuss the underlying basic foundations and demonstrate the testing approach using several real-world chatbots."
A Modular SystemC RTOS Model for Uncertainty Analysis,Cyber Physical Systems. Model-Based Design,,,,10.1007/978-3-030-41131-2_1,Lorenzo LazzaraGiulio Mosé MancusoFabio CremonaAlessandro Ulisse,2020,http://link.springer.com/chapter/10.1007/978-3-030-41131-2_1,Chapter,"Real-time operating system model, Statistical model checking, SystemC, Uncertainty quantification",10,"Nowadays the complexity of embedded systems is constantly increasing and several different types of applications concurrently execute on the same computational platform. Hence these systems have to satisfy real-time constraints and support real-time communication. The design and verification of these systems is very complex, full formal verification is not always possible and the run-time verification is the only feasible path to follow. In this context, the possibility to simulate their behavior becomes a crucial aspect. This paper proposes a SystemC modular RTOS model to assist the design and the verification of real-time embedded systems. The model architecture has been designed to capture all the typical functionalities that every RTOS owns, in order to easily reproduce the behavior of a large class of RTOS. The RTOS model can support functional simulation for design space exploration to rapidly evaluate the impact of different RTOS configurations (such as scheduling policies) on the overall system performances. Moreover the model can be used for software verification by implementing specific RTOS APIs over the generic services provided by the model, allowing the simulation of a real application without changing any instruction. The proposed approach enables the user to model non-deterministic behaviors at architectural and application level by means of probabilistic distributions. This allows to assess system performances of complex embedded systems under uncertain behavior (e.g. execution time). A use case is proposed considering an instance of the model compliant with the ARINC 653 specification, which requires spatial and temporal segregation, and where typical RTOS performances are assessed given the probability distributions of execution time and aperiodic task activation."
Model-Driven Chatbot Development,Conceptual Modeling,,,,10.1007/978-3-030-62522-1_15,Sara Pérez-SolerEsther GuerraJuan de Lara,2020,http://link.springer.com/chapter/10.1007/978-3-030-62522-1_15,Chapter,"Chatbots, DSLs, Migration, Model-driven engineering",10,"Chatbots are software services accessed via conversation in natural language. They are increasingly used to help in all kinds of procedures like booking flights, querying visa information or assigning tasks to developers. They can be embedded in webs and social networks, and be used from mobile devices without installing dedicated apps. While many frameworks and platforms have emerged for their development, identifying the most appropriate one for building a particular chatbot requires a high investment of time. Moreover, some of them are closed – resulting in customer lock-in – or require deep technical knowledge. To tackle these issues, we propose a model-driven engineering approach to chatbot development. It comprises a neutral meta-model and a domain-specific language (DSL) for chatbot description; code generators and parsers for several chatbot platforms; and a platform recommender. Our approach supports forward and reverse engineering, and model-based analysis. We demonstrate its feasibility presenting a prototype tool and an evaluation based on migrating third party Dialogflow bots to Rasa."
Coverage Analysis of Net Inscriptions in Coloured Petri Net Models,Verification and Evaluation of Computer and Communication Systems,,,,10.1007/978-3-030-65955-4_6,Faustin AhishakiyeJosé Ignacio Requeno JaraboLars Michael KristensenVolker Stolz,2020,http://link.springer.com/chapter/10.1007/978-3-030-65955-4_6,Chapter,,10,"High-level Petri nets such as Coloured Petri Nets (CPNs) are characterised by the combination of Petri nets and a high-level programming language. In the context of CPNs and CPN Tools, the inscriptions (e.g., arc expressions and guards) are specified using Standard ML (SML). The application of simulation and state space exploration (SSE) for validating CPN models traditionally focusses on behavioural properties related to net structure, i.e., places and transitions. This means that the net inscriptions are only implicitly validated, and the extent to which their sub-expressions have been covered is not made explicit. The contribution of this paper is an approach that establishes a link between coverage analysis known from programming languages and net inscriptions of CPN models. Specifically, we consider Modified Condition/Decision Coverage (MC/DC) of Boolean SML decisions, which cannot be measured within CPN Tools neither through state space exploration nor model checking directly. We have implemented our approach in a library for CPN Tools comprised of an annotation and instrumentation mechanism that transparently intercepts and collects evaluation of boolean conditions, and a post-processing tool that, for a set of model executions (runs), determines whether each decision is MC/DC-covered. We evaluate our approach on four large publicly available CPN models."
Inspecting Code Churns to Prioritize Test Cases,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_17,Francesco AltieroAnna CorazzaSergio Di MartinoAdriano PeronLuigi Libero Lucio Starace,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_17,Chapter,"Code churn., Regression testing, Test prioritization",10,"Within the context of software evolution, due to time-to-market pressure, it is not uncommon that a company has not enough time and/or resources to re-execute the whole test suite on the new software version, to check for non-regression. To face this issue, many Regression Test Prioritization techniques have been proposed, aimed at ranking test cases in a way that tests more likely to expose faults have higher priority. Some of these techniques exploit code churn metrics, i.e. some quantification of code changes between two subsequent versions of a software artifact, which have been proven to be effective indicators of defect-prone components. In this paper, we first present three new Regression Test Prioritization strategies, based on a novel code churn metric, that we empirically assessed on an open source software system. Results highlighted that the proposal is promising, but that it might be further improved by a more detailed analysis on the nature of the changes introduced between two subsequent code versions. To this aim, in this paper we also sketch a more refined approach we are currently investigating, that quantifies changes in a code base at a finer grained level. Intuitively, we seek to prioritize tests that stress more fault-prone changes (e.g., structural changes in the control flow), w.r.t. those that are less likely to introduce errors (e.g., the renaming of a variable). To do so, we propose the exploitation of the Abstract Syntax Tree (AST) representation of source code, and to quantify differences between ASTs by means of specifically designed Tree Kernel functions, a type of similarity measure for tree-based data structures, which have shown to be very effective in other domains, thanks to their customizability."
Continuous Optimization Benchmarks by Simulation,Parallel Problem Solving from Nature – PPSN XVI,,,,10.1007/978-3-030-58112-1_19,Martin ZaeffererFrederik Rehbach,2020,http://link.springer.com/chapter/10.1007/978-3-030-58112-1_19,Chapter,"Benchmarking, Continuous optimization, Gaussian process regression, Kriging, Simulation, Test function",10,"Benchmark experiments are required to test, compare, tune, and understand optimization algorithms. Ideally, benchmark problems closely reflect real-world problem behavior. Yet, real-world problems are not always readily available for benchmarking. For example, evaluation costs may be too high, or resources are unavailable (e.g., software or equipment). As a solution, data from previous evaluations can be used to train surrogate models which are then used for benchmarking. The goal is to generate test functions on which the performance of an algorithm is similar to that on the real-world objective function. However, predictions from data-driven models tend to be smoother than the ground-truth from which the training data is derived. This is especially problematic when the training data becomes sparse. The resulting benchmarks may not reflect the landscape features of the ground-truth, are too easy, and may lead to biased conclusions. To resolve this, we use simulation of Gaussian processes instead of estimation (or prediction). This retains the covariance properties estimated during model training. While previous research suggested a decomposition-based approach for a small-scale, discrete problem, we show that the spectral simulation method enables simulation for continuous optimization problems. In a set of experiments with an artificial ground-truth, we demonstrate that this yields more accurate benchmarks than simply predicting with the Gaussian process model."
Statistical Model Checking for Variability-Intensive Systems,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-45234-6_15,Maxime CordyMike PapadakisAxel Legay,2020,http://link.springer.com/chapter/10.1007/978-3-030-45234-6_15,Chapter,,10,"We propose a new Statistical Model Checking (SMC) method to discover bugs in variability-intensive systems (VIS). The state-space of such systems is exponential in the number of variants, which makes the verification problem harder than for classical systems. To reduce verification time, we sample executions from a featured transition system – a model that represents jointly the state spaces of all variants. The combination of this compact representation and the inherent efficiency of SMC allows us to find bugs much faster (up to 16 times according to our experiments) than other methods. As any simulation-based approach, however, the risk of Type-1 error exists. We provide a lower bound and an upper bound for the number of simulations to perform to achieve the desired level of confidence. Our empirical study involving 59 properties over three case studies reveals that our method manages to discover all variants violating 41 of the properties. This indicates that SMC can act as a low-cost-high-reward method for verifying VIS."
Safety Patterns for SysML: What Does OMG Specify?,Reuse in Emerging Software Engineering Practices,,,,10.1007/978-3-030-64694-3_2,Nan NiuLogan JohnsonChristopher Diltz,2020,http://link.springer.com/chapter/10.1007/978-3-030-64694-3_2,Chapter,"Grounded theory, Semantic roles, Specification patterns, Systems Modeling Language (SysML), Systems reuse, Temporal constraints",10,"The Systems Modeling Language (SysML) represents a significant and increasing segment of industrial support for building critical systems. The Object Management Group (OMG) has been releasing and revising the formal specification of SysML since 2007, with version 1.6 recently formalized in November 2019. However, little is known about what OMG specifies and how the official specification influences model-driven engineering (MDE). To fill the gap, we present a new way of analyzing the OMG SysML specification (version 1.6) to uncover reusable guidelines and constraints for safe MDE practice. We illustrate our approach with the discovery of the recurring “Asset Leakage” safety pattern and the development of a semantic-role-based theory to support practitioners’ identification, formulation, and verification of critical properties in their modeling contexts."
Systematic Approach to Engineer Decentralized Self-adaptive Systems,Software Architecture,,,,10.1007/978-3-030-59155-7_4,Federico Quin,2020,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_4,Chapter,"Architecture-based adaptation, Decentralization, Formal techniques, Machine learning, Self-adaptation",10,"Self-adaptation is a widely accepted approach to deal with uncertainties that are difficult to anticipate before deployment. We focus on architecture-based adaptation that relies on a feedback loop that reasons over architectural models of the system at runtime to make adaptation decisions. In particular, we study decentralized self-adaptive systems where self-adaptation is realized through multiple coordinating feedback loops. Such decentralization is crucial for systems where adaptation decisions cannot be made in a centralized way, such as in large scale Internet of Things (IoT). State of the art in this area is limited to either conceptual ideas or solutions dedicated to particular settings. This paper outlines a research project targeting the research question: “how to model and realize decentralized feedback loops that are capable to guarantee compliance of system goals in an efficient way despite uncertainties the system faces?” We plan to answer this question in two stage. First, we study commonalities and variability of decentralized self-adaptive systems leveraging on patterns and coordination mechanisms, and reify our insights in a framework. Second, we study language support for the design and implementation of decentralized self-adaptation, capitalizing on the outcome of the first stage. To ensure guarantees for the qualities we will found our work on formal techniques. To ensure efficiency, we will combine statistical techniques with machine learning. We plan to validate the research results in two domains: IoT and multi-cloud systems."
Formal Verification of OIL Component Specifications using mCRL2,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-58298-2_10,Olav BunteLouis C. M. van GoolTim A. C. Willemse,2020,http://link.springer.com/chapter/10.1007/978-3-030-58298-2_10,Chapter,,10,"To aid in making software bug-free, several high-tech companies are moving from coding to modelling. In some cases model checking techniques are explored or have already been adopted to get more value from these models. This also holds for Canon Production Printing, where the language OIL was developed for modelling control-software components. In this paper we present OIL and give its semantics. We define a translation from OIL to mCRL2 to enable the use of model checking techniques. Moreover, we discuss informal validity requirements on OIL component specifications and show how these can be formalised and verified using model checking. To test the feasibility of these techniques, we apply them to two models of systems used in production."
Continuous Formal Verification of Microservice-Based Process Flows,Software Architecture,,,,10.1007/978-3-030-59155-7_31,Matteo Camilli,2020,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_31,Chapter,"DevOps, Formal verification, Microservices, Petri nets",10,"The microservice architectural style is often used to implement modern cloud, IoT, and large-scale distributed applications. Here software development processes are characterized by short incremental iterations, where several updates and new functionalities are continuously integrated many times a day in a agile fashion. Such a paradigm shift calls for new formal approaches to systematic (design-time and runtime) verification. This paper introduces a formal framework to apply continuous verification of microservice based applications built on top of Conductor , i.e., an open source orchestration engine of microservices workflows in use at Netflix, Inc. for their production environment. Our proposal adopts a model-driven paradigm and it leverages solid foundation from Petri nets to specify and verify the behavior of time-dependent workflows. This paper describes our approach, the current implementation, and evaluation activity conducted on a taxi-hailing application example."
Declarative Stream Runtime Verification (hLola),Programming Languages and Systems,,,,10.1007/978-3-030-64437-6_2,Martín CeresaFelipe GorostiagaCésar Sánchez,2020,http://link.springer.com/chapter/10.1007/978-3-030-64437-6_2,Chapter,,10,"Stream Runtime Verification (SRV) is a formal dynamic analysis technique that generalizes runtime verification algorithms from temporal logics like LTL to stream monitoring, allowing the computation of richer verdicts than Booleans (quantitative values or even arbitrary data). The core of SRV algorithms is a clean separation between temporal dependencies and data computations. In spite of this theoretical separation previous engines include ad-hoc implementations of just a few data types, requiring complex changes in the tools to incorporate new data types. In this paper we present a solution as a Haskell embedded domain specific language that is easily extensible to arbitrary data types. The solution is enabled by a technique, which we call lift deep embedding , that consists in borrowing general Haskell types and embedding them transparently into an eDSL. This allows for example the use of higher-order functions to implement static stream parametrization. We describe the Haskell implementation called hLola and illustrate simple extensions implemented using libraries, which would require long and error-prone additions in other ad-hoc SRV formalisms."
Quantifying the Similarity of Non-bisimilar Labelled Transition Systems,Software Engineering and Formal Methods,,,,10.1007/978-3-030-57506-9_16,Gwen Salaün,2020,http://link.springer.com/chapter/10.1007/978-3-030-57506-9_16,Chapter,,10,"Equivalence checking is an established technique for automatically verifying that two behavioural models (Labelled Transition Systems, LTSs) are equivalent from the point of view of an external observer. When these models are not equivalent, the checker returns a Boolean result with a counterexample, which is a sequence of actions leading to a state where the equivalence relation is not satisfied. However, this counterexample does not give any indication of how far the two LTSs are one from another. One can wonder whether they are almost identical or totally different, which is quite different from a design or debugging point of view. In this paper, we present an approach for measuring the similarity between two LTS models. The set of metrics is computed automatically using a tool we implemented. Beyond presenting the foundations of the proposed solution, we will show how it can be applied to a concrete application domain for supporting the construction of IoT applications by composition of existing devices."
Optimistic and Pessimistic On-the-fly Analysis for Metric Temporal Graph Logic,Graph Transformation,,,,10.1007/978-3-030-51372-6_16,Sven SchneiderLucas SakizloglouMaria MaximovaHolger Giese,2020,http://link.springer.com/chapter/10.1007/978-3-030-51372-6_16,Chapter,"Graph logic with binding, Nonpropositional metric temporal logic, Runtime monitoring, Three-valued logic",10,"The nonpropositional Metric Temporal Graph Logic (MTGL) specifies the behavior of timed dynamic systems given by timed graph sequences (TGSs), which contain typed attributed graphs representing system states and the elapsed time between states. MTGL satisfaction can be analyzed for finite TGSs by translating its satisfaction problem to the satisfaction problem of nested graph conditions using a folding operation (aggregating a TGS into a graph with history ) and a reduction operation (translating an MTGL condition into a nested graph condition). In this paper, we introduce an analysis procedure for MTGL to allow for an on-the-fly analysis of finite/infinite TGSs. To this end, we introduce a further (optimistic) reduction of MTGL conditions, which leads to violations during the on-the-fly analysis only when non-satisfaction is guaranteed in the future whereas the former (pessimistic) reduction leads to violations when satisfaction is not guaranteed in the future. We motivate the relevance of our analysis procedure, which uses both reduction operations, by means of a running example. Finally, we discuss prototypical support in the tool AutoGraph ."
On Testing Message-Passing Components,"Leveraging Applications of Formal Methods, Verification and Validation: Verification Principles",,,,10.1007/978-3-030-61362-4_2,Alex CotoRoberto GuancialeEmilio Tuosto,2020,http://link.springer.com/chapter/10.1007/978-3-030-61362-4_2,Chapter,,10,"We instantiate and apply a recently proposed abstract framework featuring an algorithm for the automatic generation of tests for component testing of message-passing systems. We demonstrate the application of a top-down mechanism for test generation. More precisely, we reduce the problem of generating tests for components of message-passing applications to the projection of global views of choreographies. The application of the framework to some examples gives us the pretext to make some considerations about our approach."
Modelling an Automotive Software-Intensive System with Adaptive Features Using ASMETA,Rigorous State-Based Methods,,,,10.1007/978-3-030-48077-6_25,Paolo ArcainiSilvia BonfantiAngelo GargantiniElvinia RiccobenePatrizia Scandurra,2020,http://link.springer.com/chapter/10.1007/978-3-030-48077-6_25,Chapter,,10,"In the context of automotive domain, modern control systems are software-intensive and have adaptive features to provide safety and comfort. These software-based features demand software engineering approaches and formal methods that are able to guarantee correct operation, since malfunctions may cause harm/damage. Adaptive Exterior Light and the Speed Control Systems are examples of software-intensive systems that equip modern cars. We have used the Abstract State Machines to model the behaviour of both control systems. Each model has been developed through model refinement, following the incremental way in which functional requirements are given. We used the ASMETA tool-set to support the simulation of the abstract models, their validation against the informal requirements, and the verification of behavioural properties. In this paper, we discuss our modelling, validation and verification strategies, and the results (in terms of features addressed and not) of our activities. In particular, we provide insights on how we addressed the adaptive features (the adaptive high beam headlights and the adaptive cruise control) by explicitly modelling their software control loops according to the MAPE-K (Monitor-Analyse-Plan-Execute over a shared Knowledge) reference control model for self-adaptive systems."
Tendermint Blockchain Synchronization: Formal Specification and Model Checking,"Leveraging Applications of Formal Methods, Verification and Validation: Verification Principles",,,,10.1007/978-3-030-61362-4_27,Sean BraithwaiteEthan BuchmanIgor KonnovZarko MilosevicIlina StoilkovskaJosef WidderAnca Zamfir,2020,http://link.springer.com/chapter/10.1007/978-3-030-61362-4_27,Chapter,,10,"Blockchain synchronization is one of the core protocols of Tendermint blockchains. We describe our recent efforts on formal specification of the protocol and its implementation, and present model checking results for small parameters. We demonstrate that the protocol quality and understanding can be improved by writing specifications and applying model checking to verify their properties."
Towards a Formally Verified Implementation of the MimbleWimble Cryptocurrency Protocol,Applied Cryptography and Network Security Workshops,,,,10.1007/978-3-030-61638-0_1,Gustavo BetarteMaximiliano CristiáCarlos LunaAdrián SilveiraDante Zanarini,2020,http://link.springer.com/chapter/10.1007/978-3-030-61638-0_1,Chapter,"Cryptocurrency, Formal verification, Idealized model, MimbleWimble, Security",10,MimbleWimble is a privacy-oriented cryptocurrency technology which provides security and scalability properties that distinguish it from other protocols of its kind. We present and briefly discuss those properties and outline the basis of a model-driven verification approach to address the certification of the correctness of an implementation of the protocol.
Using Model Learning for the Generation of Mock Components,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_1,Sébastien SalvaElliott Blot,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_1,Chapter,"Communicating systems, Mock, Model learning, Quality metrics",10,"Mocking objects is a common technique that substitutes parts of a program to simplify the test case development, to increase test coverage or to speed up performance. Today, mocks are almost exclusively used with object oriented programs. But mocks could offer the same benefits with communicating systems to make them more reliable. This paper proposes a model-based approach to help developers generate mocks for this kind of system, i.e. systems made up of components interacting with each other by data networks and whose communications can be monitored. The approach combines model learning to infer models from event logs, quality metric measurements to help chose the components that may be replaced by mocks, and mock generation and execution algorithms to reduce the mock development time. The approach has been implemented as a tool chain with which we performed experimentations to evaluate its benefits in terms of usability and efficiency."
"The Impact of Social-Support, Self-efficacy and APP on MBI","Cross-Cultural Design. Applications in Health, Learning, Communication, and Creativity",,,,10.1007/978-3-030-49913-6_12,Shu-Mei LinLiang-Ming LoChia-Yi LiuChao LiuWen-Ko Chiou,2020,http://link.springer.com/chapter/10.1007/978-3-030-49913-6_12,Chapter,"APP, MBI, Self-efficacy, Social-support",10,"Social-support, self-efficacy and APP were one of the advanced MBI. This article presents a structured literature review of 44 articles to elucidate the impacts of social support, self-efficacy, APP. We discuss (1) the MBIs in which social-support, self-efficacy, and APP operate; (2) social-support, self-efficacy, and APP as MBI design choices and (3) the implycations of MBI design choices on MBI performance output. The structure of this article is based on the MBI-PPD-APP model. Results of our literature review revealed that, social-support, self-efficacy, and APP are employed in a variety of applications. We also found that MBI design involves choices pertaining to MBI configurations, MBI relationship, social-support, self-efficacy, and the APP process. The MBI performance outputs which were found to be most influenced by social-support, self-efficacy, and APP included PPD (reduce), MBI phenomena (reduced), and MBI responsiveness (improved). We used the findings of our literature review to develop a conceptual framework, which includes 18 propositions and an agenda for research. Specifically, the goal of this research agenda is to existing knowledge about how social-support, self-efficacy, and APP impact MBI design. We expect that social-support and self-efficacy and APP will eventually lead to improve."
Initial Pose Estimation of 3D Object with Severe Occlusion Using Deep Learning,Advanced Concepts for Intelligent Vision Systems,,,,10.1007/978-3-030-40605-9_28,Jean-Pierre LomalizaHanhoon Park,2020,http://link.springer.com/chapter/10.1007/978-3-030-40605-9_28,Chapter,"Deep learning, Initial camera pose estimation, Mobile augmented reality, Model-based tracking, Partially visible object, Severe occlusion, Subpart detection",10,"During the last decade, augmented reality (AR) has gained explosive attention and demonstrated high potential on educational and training applications. As a core technique, AR requires a tracking method to get 3D poses of a camera or an object. Hence, providing fast, accurate, robust, and consistent tracking methods have been a main research topic in the AR field. Fortunately, tracking the camera pose using a relatively small and less-textured known object placed on the scene has been successfully mastered through various types of model-based tracking (MBT) methods. However, MBT methods requires a good initial camera pose estimator and estimating an initial camera pose from partially visible objects remains an open problem. Moreover, severe occlusions are also challenging problems for initial camera pose estimation. Thus, in this paper, we propose a deep learning method to estimate an initial camera pose from a partially visible object that may also be severely occluded. The proposed method handles such challenging scenarios by relying on the information of detected subparts of a target object to be tracked. Specifically, we first detect subparts of the target object using a state-of-the-art convolutional neural networks (CNN). The object detector returns two dimensional bounding boxes, associated classes, and confidence scores. We then use the bounding boxes and classes information to train a deep neural network (DNN) that regresses to camera’s 6-DoF pose. After initial pose estimation, we attempt to use a tweaked version of an existing MBT method to keep tracking the target object in real time on mobile platform. Experimental results demonstrate that the proposed method can estimate accurately initial camera poses from objects that are partially visible or/and severely occluded. Finally, we analyze the performance of the proposed method in more detail by comparing the estimation errors when different number of subparts are detected."
STAMP S&S: Layered Modeling for the Complexed System in the Society of AI/IoT,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_11,Tomoko KanekoNobukazu Yoshioka,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_11,Chapter,"ISO15288, ISO21207, Layered modeling, Risk analysis, Safety, Security, Socio-technical system, STAMP",10,"Systems, including AI/IoT, have complex relationships. It is necessary to analyze risks from various perspectives to build a system that can be used safely and securely throughout society, including people and organizations. Object modeling is desirable for risk analysis from multiple viewpoints. An accident model based on system theory called STAMP and its hazard analysis method STPA has attracted attention recently. The basis of this theory is the Control Structure diagram (CS) that captures the entire system. The authors use CS as a structural diagram that captures the requirements of the whole system, including humans and society, and clarifies the relationship by the software lifecycle process standard and the system-life cycle process standard. Therefore, it is proposed to explain the specifications hierarchically for each software, system, service, and stakeholder, and to standardize it for the social layer. In order to model a complex system hierarchically, we propose to model the control structure diagram of STAMP into five layers according to the life cycle of software and system requirements. In addition, we present a case study of safety and security analysis based on the above-mentioned model, considering the case of level 3 autonomous driving."
The First Twenty-Five Years of Industrial Use of the B-Method,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-58298-2_8,Michael ButlerPhilipp KörnerSebastian KringsThierry LecomteMichael LeuschelLuis-Fernando MejiaLaurent Voisin,2020,http://link.springer.com/chapter/10.1007/978-3-030-58298-2_8,Chapter,,10,"The B-Method has an interesting history, where language and tools have evolved over the years. This not only led to considerable research and progress in the area of formal methods, but also to numerous industrial applications, in particular in the railway domain. We present a survey of the industrial usage of the B-Method since the first toolset in 1993 and the inauguration of the driverless metro line 14 in Paris in 1999. We discuss the various areas of applications, from software development to data validation and on to systems modelling. The evolution of the tooling landscape is also analysed, and we present an assessment of the current situation, lessons learned and possible new directions."
Families of Monotonic Trees: Combinatorial Enumeration and Asymptotics,Computer Science – Theory and Applications,,,,10.1007/978-3-030-50026-9_11,Olivier BodiniAntoine GenitriniMehdi NaimaAlexandros Singh,2020,http://link.springer.com/chapter/10.1007/978-3-030-50026-9_11,Chapter,"Analytic Combinatorics, Asymptotic enumeration, Borel transform, Evolution process, Increasing trees, Monotonic trees",10,"There exists a wealth of literature concerning families of increasing trees, particularly suitable for representing the evolution of either data structures in computer science, or probabilistic urns in mathematics, but are also adapted to model evolutionary trees in biology. The classical notion of increasing trees corresponds to labeled trees such that, along paths from the root to any leaf, node labels are strictly increasing; in addition nodes have distinct labels. In this paper we introduce new families of increasingly labeled trees relaxing the constraint of unicity of each label. Such models are especially useful to characterize processes evolving in discrete time whose nodes evolve simultaneously. In particular, we obtain growth processes for biology much more adequate than the previous increasing models. The families of monotonic trees we introduce are much more delicate to deal with, since they are not decomposable in the sense of Analytic Combinatorics. New tools are required to study the quantitative statistics of such families. In this paper, we first present a way to combinatorially specify such families through evolution processes, then, we study the tree enumerations."
