Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Keywords,Pages
Amalfitano D.; Amatucci N.; Fasolino A.R.; Gentile U.; Mele G.; Nardone R.; Vittorini V.; Marrone S.,"Amalfitano, Domenico (25926238800); Amatucci, Nicola (55843621200); Fasolino, Anna Rita (7006159957); Gentile, Ugo (56352190200); Mele, Gianluca (56352190100); Nardone, Roberto (50861911000); Vittorini, Valeria (6701381302); Marrone, Stefano (57203296376)",25926238800; 55843621200; 7006159957; 56352190200; 56352190100; 50861911000; 6701381302; 57203296376,Improving code coverage in android apps testing by exploiting patterns and automatic test case generation,2014,"WISE 2014 - Proceedings of the 2014 ACM International Workshop on Long-Term Industrial Collaboration on Software Engineering, Co-located with ASE 2014",,,,29,34,5.0,7,10.1145/2647648.2656426,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908645493&doi=10.1145%2f2647648.2656426&partnerID=40&md5=a257ffe40a8fd8c703e9e69893206a86,"This work aims at defining a procedure and a set of mechanisms able to improve the quality of the code coverage in automated software reverse engineering processes, and specifically in automated GUI-driven testing of Android apps. Existing automated model-based testing techniques, based on reverse engineering, generate test cases which can be executed directly on the software's GUI. We propose to augment the code coverage of these techniques, by exploiting information from patterns, defined at different levels (application design, state-based model, interaction with Android services), and generating additional test cases that may in crease the coverage capability of GUI-Ripping based testing technique. The generation of the additional test cases is accomplished by defining an automatable procedure which exploits an existing GUI testing approach and a pattern based approach used in a different context. Copyright 2014 ACM.",Automatic test case generation; GUI testing; Mobile applications; Model driven engineering; Reverse engineering,Android (operating system); Automatic programming; Automation; Codes (symbols); Graphical user interfaces; Model checking; Reverse engineering; Software engineering; Application design; Automated modeling; Automatic test-case generations; GUI testing; Mobile applications; Model-driven Engineering; Software reverse engineering; State-based models; Software testing,Conference paper,Final,,Scopus,2-s2.0-84908645493,"Automatic test case generation, GUI testing, Mobile applications, Model driven engineering, Reverse engineering",6.0
Fan L.; Chen S.; Xu L.; Yang Z.; Zhu H.,"Fan, Lingling (57197024797); Chen, Sen (57190395316); Xu, Lihua (55846204400); Yang, Zongyuan (8409636800); Zhu, Huibiao (14046380100)",57197024797; 57190395316; 55846204400; 8409636800; 14046380100,Model-Based continuous verification,2016,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",0,,7890574,81,88,7.0,1,10.1109/APSEC.2016.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018497743&doi=10.1109%2fAPSEC.2016.022&partnerID=40&md5=cbbda0875911f4d9dff774426f3e38ed,"Model-based engineering has emerged as a key set of technologies to engineer software systems. While system source code is expected to match with the designed model, legacy systems and workarounds during deployment would undoubtedly change the source code, making the actual running implementation mismatch with its model. Such mismatch poses a challenge of maintaining the conformance between the model and the corresponding implementation. Prior techniques, such as model checking and model-based testing, simply assumed the sole correctness of the model or the implementation, which is naive since they both could contain correct information (e.g. representing either the software requirements or the actual running environment).In this paper, we aim to address this problem through model-based continuous verification (ConV), an iterative verification process that links the traditional model checking phase with the software testing phase to a feedback loop, ensuring the conformance between the system model and its implementation. It allows to execute the abstract test cases over the implementation through a semi-automatic binding mechanism to guide the update of the code, and augments system properties from the actually running system to guide the update of the model through model checking. Based on these techniques, we implemented Eunomia, a conformance verification system, to support the continuous verification process. Experiments show that Eunomia can effectively detect and locate inconsistencies both in the model and the source code.",Consistency checking; Linear temporal logic; Model checking; Model-based testing,Codes (symbols); Computer programming languages; Iterative methods; Legacy systems; Software testing; Binding mechanisms; Consistency checking; Linear temporal logic; Model based testing; Model-based engineering; Software requirements; Verification process; Verification systems; Model checking,Conference paper,Final,,Scopus,2-s2.0-85018497743,"Consistency checking, Linear temporal logic, Model checking, Model-based testing",8.0
Chantit S.; Essebaa I.,"Chantit, Salima (57191413214); Essebaa, Imane (57191406520)",57191413214; 57191406520,Towards an automatic model-based scrum methodology,2021,Procedia Computer Science,184,,,797,802,5.0,6,10.1016/j.procs.2021.03.099,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106748671&doi=10.1016%2fj.procs.2021.03.099&partnerID=40&md5=9b8b01b3786fc1a448e17e978c009aa7,"Software systems evolve continuously and must be developed quickly to fit user requirements and new advances in technology. This has led the software engineering to propose several methods and approaches to overcome the development and maintenance of these software systems. In this regard, Agile Methodologies and Model-Driven Engineering (MDE) are two main approaches that have emerged in recent years and suggest a solution to some of the issues associated with Software systems developments. MDE focuses on software reuse through models and on generative approaches based on separation of concerns whereas Agile Methods promote the use of simpler models and best practices for programming to achieve quick feedback from clients within a development process. However, these two approaches have evolved separately and there are only a few works related to their combination. This paper presents a customized V development life cycle based on models which combines the two MDE variants: The MDA approach in the V left branch with the MBT approach to generate tests of the V right branch. In addition, we integrate this customized V life cycle in the agile Scrum methodology to facilitate the management of each Scrum sprint.",Agile methodologies; Model driven architecture; Model driven engineering; Model-based testing; Scrum; V development life cycle,Agile manufacturing systems; Computer software reusability; Model checking; Software architecture; Software design; Agile Methodologies; Automatic modeling; Model based testing; Model driven architectures; Model-based OPC; Model-driven Engineering; Scra; Scrum methodologies; Software-systems; V development life cycle; Life cycle,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85106748671,"Agile methodologies, Model driven architecture, Model driven engineering, Model-based testing, Scrum, V development life cycle",6.0
Rapos E.J.; Cordy J.R.,"Rapos, Eric J. (55253700900); Cordy, James R. (6603931586)",55253700900; 6603931586,SimEvo: A Toolset for Simulink Test Evolution & Maintenance,2018,"Proceedings - 2018 IEEE 11th International Conference on Software Testing, Verification and Validation, ICST 2018",,,,410,415,5.0,4,10.1109/ICST.2018.00049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048382239&doi=10.1109%2fICST.2018.00049&partnerID=40&md5=e6d19165ef47eb356dd1cc98767fa662,"As Simulink models evolve and change during development, test evolution and maintenance can often be overlooked. SimEvo provides a toolset to assist Simulink developers in coevolving test harnesses and test cases alongside their source models. Primarily a collection of testing tools, SimEvo combines the impact analysis features of the SimPact impact analysis tool to identify instances of necessary test case changes and potentially affected blocks, with the SimTH test harness generator to automatically determine if changes need to be made to the test harness model, and automatically generate a new one if necessary. This paper examines the implementation of SimTH, its integration with SimPact into the workbench SimEvo, and an overall analysis of the contributions of the toolset.",Model Based Testing; Simulink; Test Evolution; Test Harness Generation; Test Maintenance; Tool Development,Maintenance; Model checking; Model based testing; Simulink; Test harness; Test maintenances; Tool development; Software testing,Conference paper,Final,,Scopus,2-s2.0-85048382239,"Model Based Testing, Simulink, Test Evolution, Test Harness Generation, Test Maintenance, Tool Development",6.0
Khoo T.P.,"Khoo, Teck Ping (57204727337)",57204727337,Model based testing of cyber-physical systems,2018,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11232 LNCS,,,423,426,3.0,2,10.1007/978-3-030-02450-5_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056825782&doi=10.1007%2f978-3-030-02450-5_27&partnerID=40&md5=6cf8b7e1cc8f08a5e363e322e4daef18,"Black-box testing has been extensively applied to test models of Cyber-Physical systems (CPS) since these models are not often amenable to static and symbolic testing and verification. Black-box testing, however, requires to execute the model under test for a large number of candidate test inputs. This poses a challenge for a large and practically-important category of CPS models, known as compute-intensive CPS (CI-CPS) models, where a single simulation may take hours to complete. We propose a novel approach, namely ARIsTEO, to enable effective and efficient testing of CI-CPS models. Our approach embeds black-box testing into an iterative approximation-refinement loop. At the start, some sampled inputs and outputs of the CI-CPS model under test are used to generate a surrogate model that is faster to execute and can be subjected to black-box testing. Any failure-revealing test identified for the surrogate model is checked on the original model. If spurious, the test results are used to refine the surrogate model to be tested again. Otherwise, the test reveals a valid failure.We evaluated ARIsTEO by comparing it with S-Taliro, an open-source and industry-strength tool for testing CPS models. Our results, obtained based on five publicly-available CPS models, show that, on average, ARIsTEO is able to find 24% more requirements violations than S-Taliro and is 31% faster than S-Taliro in finding those violations. We further assessed the effectiveness and efficiency of ARIsTEO on a large industrial case study from the satellite domain. In contrast to S-Taliro, ARIsTEO successfully tested two different versions of this model and could identify three requirements violations, requiring four hours, on average, for each violation.",Cyber-Physical Systems; Model Based Testing; Testing framework,Cyber Physical System; Embedded systems; Formal methods; Model checking; Specifications; Autonomous Vehicles; Cyber physical systems (CPSs); Health-care system; Industrial systems; Model based testing; System safety; System specification; Testing framework; Interoperability,Conference paper,Final,,Scopus,2-s2.0-85056825782,"Cyber-physical systems, Falsification, Model testing, Robustness, Search-based testing",13.0
Herpel H.J.; Kerep M.; Li J.; Xie J.; Johansen B.; Kvinnesland K.; Krueger S.; Barrios P.,"Herpel, H.J. (6602507372); Kerep, M. (57131036900); Li, J. (8273831100); Xie, J. (57190225513); Johansen, B. (57190223018); Kvinnesland, K. (12786475200); Krueger, S. (57191863751); Barrios, P. (57190223610)",6602507372; 57131036900; 8273831100; 57190225513; 57190223018; 12786475200; 57191863751; 57190223610,Model based testing of satellite on-board software - An industrial use case,2016,IEEE Aerospace Conference Proceedings,2016-June,,7500845,,,,6,10.1109/AERO.2016.7500845,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978525310&doi=10.1109%2fAERO.2016.7500845&partnerID=40&md5=e5cfe29c286237503967d31239e14f09,"In this paper we describe a Model Based approach to testing of on-board software and compare it with traditional validation strategy currently applied to satellite software. The major problems that software engineering will face over at least the next two decades are increasing application complexity driven by the need for autonomy and serious application robustness. In other words, how do we actually get to declare success when trying to build applications one or two orders of magnitude more complex than today's applications. To solve the problems addressed above the software engineering process has to be improved at least for two aspects: 1) Software design and 2) Software testing. The software design process has to evolve towards model-based approaches with extensive use of code generators. Today, testing is an essential, but time and resource consuming activity in the software development process. Generating a short, but effective test suite usually requires a lot of manual work and expert knowledge. In a model-based process, among other subtasks, test construction and test execution can also be partially automated. The basic idea behind the presented study was to start from a formal model (e.g. State Machines), generate abstract test cases which are then converted to concrete executable test cases (input and expected output pairs). The generated concrete test cases were applied to an on-board software. Results were collected and evaluated wrt. applicability, cost-efficiency, effectiveness at fault finding, and scalability. © 2016 IEEE.",,Application programs; Concretes; Formal methods; Model checking; Software design; Software engineering; Testing; Application complexity; Industrial use case; Model based approach; Model based testing; Software design process; Software development process; Software engineering process; Validation strategies; Software testing,Conference paper,Final,,Scopus,2-s2.0-84978525310,,
Proll R.; Bauer B.,"Proll, Reinhard (57201995163); Bauer, Bernhard (35241718100)",57201995163; 35241718100,A model-based test case management approach for integrated sets of domain-specific models,2018,"Proceedings - 2018 IEEE 11th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2018",,,,175,184,9.0,2,10.1109/ICSTW.2018.00048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050967706&doi=10.1109%2fICSTW.2018.00048&partnerID=40&md5=e99cb437a53d163a646a0980a3dd5ab5,"Due to rapid improvements in the area of embedded processing hardware, the complexity of developed systems constantly increases. In order to ensure a high quality level of such systems, related quality assurance concepts have to evolve. The introduction of Model-Based Testing (MBT) approaches has shown promising results by automating and abstracting multiple activities of the software testing life cycle. Nevertheless, there is a strong need for approaches supporting scoped test models, i.e. subsets of test cases, reflecting specific test purposes driven by risk-oriented development strategies. Therefore, we developed an integrated and model-based approach supporting test case management, which incorporates the beneficial aspects of abstract development methodologies with predominant research for test case management in non-model-based scenarios. Based on a new model artifact, the integration model, tasks like cross-domain information mapping and the integration of domain-specific KPIs derived by analyses favor the subsequently applied constraint-based mechanism for test case management. Further, a prototypical implementation of these concepts within the Architecture And Analysis Framework (A3F) is elaborated and further evaluated based on representative application scenarios. A comparative view on related work leads to a conclusive statement regarding our future work.",Model-Based Testing; Test Case Management; Test Model Scoping; Test Prioritization; Test Selection; Test Suite Reduction,Embedded systems; Information management; Life cycle; Model checking; Quality assurance; Research and development management; Model based testing; Scoping; Test case; Test prioritization; Test selection; Test suite reduction; Software testing,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85050967706,"Model-Based Testing, Test Case Management, Test Model Scoping, Test Prioritization, Test Selection, Test Suite Reduction",10.0
Bernard E.; Ambert F.; Legeard B.,"Bernard, Elodie (57219183437); Ambert, Fabrice (55580956100); Legeard, Bruno (6603012582)",57219183437; 55580956100; 6603012582,Supporting efficient test automation using lightweight MBT,2020,"Proceedings - 2020 IEEE 13th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2020",,,9155866,84,94,10.0,1,10.1109/ICSTW50294.2020.00028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091755014&doi=10.1109%2fICSTW50294.2020.00028&partnerID=40&md5=5a51ced1a46abac96ffe63fc0f337115,"The Agile and DevOps transformation of software development practices enhances the need for increased automation of functional testing, especially for regression testing. This poses challenges both in the effort that needs to be devoted to the creation and maintenance of automated test scripts, and in their relevance (i.e. their alignment with business needs). Test automation is still difficult to implement and maintain and the return on investment comes late while projects tend to be short. In this context, we have experimented a lightweight model-based test automation approach to address both productivity and relevance challenges. It integrates test automation through a simple process and tool-chain experimented on large IT projects.",,Automation; Model checking; Software design; Testing; Automated test; Business needs; Functional testing; IT project; Model-based test; Regression testing; Software development practices; Test Automation; Software testing,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85091755014,N/A,11.0
Gong X.; Li H.; Liu X.; Wang H.; Ni Y.; Lei Y.; Zhou R.; Zou W.; Tang Y.; Liu S.,"Gong, Xiaoli (57218205837); Li, Haimin (37112722400); Liu, Xingchong (57210824687); Wang, Hanyu (55697962900); Ni, Yafei (57249230400); Lei, Yue (57249942200); Zhou, Ruonan (57226467511); Zou, Wenjing (57350476600); Tang, Yanling (57609045200); Liu, Shuqian (57610108000)",57218205837; 37112722400; 57210824687; 55697962900; 57249230400; 57249942200; 57226467511; 57350476600; 57609045200; 57610108000,High Moisture Stability for Enhanced Quality Perovskite Solar Cells Induced by Front and Back Layer Synergistic Passivation of Perovskite,2022,Solar RRL,6,10,2200487,,,,1,10.1002/solr.202200487,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135450559&doi=10.1002%2fsolr.202200487&partnerID=40&md5=248a39dbde9b8f41fdcc3c1a485d513d,"Moisture stability is one of the key factors that hinders the commercialization of perovskite solar cells (PSCs). Herein, a new method of front and back layer synergistic passivation of perovskite is investigated. On the front layer, porous PbI2 nanostructures are induced by N-tert-butyl-2-benzothiazolesulfenamide (TBBS), which is added into PbI2 precursor solution and thermally decomposed to tert-butylamine (TBA) and 2-mercaptobenzothiazole (2-MBT) during annealing process. TBA volatilization leaves voids to induce porous PbI2, promoting diffusion of organic salts, facilitating crystallization of perovskite. Thickness of perovskite with TBBS doping increases from 527.7 to 561.2 nm, and the champion power conversion efficiency (PCE) increases from 19.71% to 20.97%. On the back layer, hydrophobic hole transport material PTAA is introduced onto perovskite surface to fill cation vacancies. Eventually, the highest efficiency of 22.35% with outstanding moisture stability is achieved after front and back layer synergistic passivation, which can maintain 71.14% of its initial efficiency after 7 days under high relative humidity (RH = 65 ± 2%) in ambient conditions without any encapsulation, while the control one can only remain 12.38%. © 2022 Wiley-VCH GmbH.",perovskite solar cells; porous PbI<sub>2</sub>; stability; synergistic passivation,Durability; Efficiency; Humidity control; Layered semiconductors; Lead compounds; Passivation; Perovskite solar cells; Stability; 2-mercaptobenzothiazole; Annealing process; Butylamines; Commercialisation; High moisture; Key factors; Moisture stability; Porous PbI2; Precursor solutions; Synergistic passivation; Perovskite,Article,Final,,Scopus,2-s2.0-85135450559,,
Kan X.; Zhou D.; Yang W.; Zhai X.; Wang C.-H.,"Kan, Xiang (57192720528); Zhou, Dezhi (56410246600); Yang, Wenming (26533639100); Zhai, Xiaoqiang (7006359384); Wang, Chi-Hwa (35239227700)",57192720528; 56410246600; 26533639100; 7006359384; 35239227700,An investigation on utilization of biogas and syngas produced from biomass waste in premixed spark ignition engine,2018,Applied Energy,212,,,210,222,12.0,65,10.1016/j.apenergy.2017.12.037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037609337&doi=10.1016%2fj.apenergy.2017.12.037&partnerID=40&md5=b45f2dd70cec1ad3cdb044ba6b108c55,"Syngas and biogas are two typical biofuels generated from biomass wastes through gasification and anaerobic digestion processes, which are considered to be the future fuels for IC engines. In this work, the utilization of biogas and syngas produced from horticultural waste in a premixed spark ignition engine was investigated. An experimentally validated KIVA4-based CFD simulation integrated with CHEMKIN was performed to evaluate engine performance fuelled by syngas and biogas under both single and blended-fuel modes. Effects of ignition timing, hydrogen content in syngas and methane content in biogas on both energetic and environmental performance have been studied. The indicated thermal efficiency (ITE) of syngas fueled engine at wide open throttle (WOT) condition under maximum brake torque (MBT) operation was found to be higher than that of biogas fueled engine, meanwhile, with much lower NOx emission. In addition, a comparison of the engine performance between the single and blended-fuel modes under different syngas mixing ratios was conducted in terms of ITE and NOX emission. The results suggest that the utilization of syngas and biogas under blended-fuel mode can not only maintain the MBT energetic performance under single-fuel mode, but also show its potential in reducing NOx emission and lessening the tendency of knock onset.",Biogas; Blended fuel; Experiment; KIVA-CHEMKIN; SI engine; Syngas,Anaerobic digestion; Biofuels; Engines; Environmental management; Experiments; Nitrogen oxides; Synthesis gas; Anaerobic digestion process; Blended fuels; CHEMKIN; Environmental performance; Indicated thermal efficiency; Maximum brake torques; SI Engines; Syn-gas; anaerobic digestion; biofuel; biogas; biomass; emission; engine; experimental study; hydrogen; methane; nitric oxide; operations technology; performance assessment; Biogas,Article,Final,,Scopus,2-s2.0-85037609337,"Biogas, Blended fuel, Experiment, KIVA-CHEMKIN, SI engine, Syngas",13.0
Ding Z.; Jiang M.; Chen H.; Jin Z.; Zhou M.,"Ding, Zuohua (23990419300); Jiang, Mingyue (35100541600); Chen, Haibo (58369794400); Jin, Zhi (8961795500); Zhou, Mengchu (7403506743)",23990419300; 35100541600; 58369794400; 8961795500; 7403506743,Petri net based test case generation for evolved specification,2016,Science China Information Sciences,59,8,80105,,,,8,10.1007/s11432-016-5598-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980407668&doi=10.1007%2fs11432-016-5598-5&partnerID=40&md5=4bc69fe41d35fc78cf3b291fdd65e148,"Model-based testing can use a model to test a concrete program’s implementation. When the model is changed due to the evolution of the specification, it is important to maintain the test suites up to date, such that it can be used for regression testing. A complete regeneration of the whole test suite from the new model, although inefficient, is still frequently used in practice. To address this problem effectively, we propose a test case reusability analysis technique to identify reusable test cases of the original test suite based on graph analysis, such that we can generate new test cases to cover only the change-related parts of the new model. The Market Information System (MIS) is employed to demonstrate the feasibility and effectiveness of the proposed method. Our experimental results show that the use of our method saves about 31.5% test case generation cost. © 2016, Science China Press and Springer-Verlag Berlin Heidelberg.",evolved specification; Petri net; reachability graph; regression testing; test case generation,Concrete testing; Model checking; Petri nets; Reusability; Specifications; Testing; Graph analysis; Market information systems; Model based testing; Reachability graphs; Regression testing; Reusable test case; Test case generation; Test case reusability; Software testing,Article,Final,,Scopus,2-s2.0-84980407668,,
Wotawa F.; Schulz M.; Pill I.; Jehan S.; Leitner P.; Hummer W.; Schulte S.; Hoenisch P.; Dustdar S.,"Wotawa, Franz (6603677377); Schulz, Marco (55842880000); Pill, Ingo (55960028300); Jehan, Seema (55843205300); Leitner, Philipp (18037605900); Hummer, Waldemar (36716249700); Schulte, Stefan (24767006100); Hoenisch, Philipp (55844091400); Dustdar, Schahram (6701473617)",6603677377; 55842880000; 55960028300; 55843205300; 18037605900; 36716249700; 24767006100; 55844091400; 6701473617,Fifty shades of grey in SOA testing,2013,"Proceedings - IEEE 6th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2013",,,6571625,154,157,3.0,7,10.1109/ICSTW.2013.26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883443132&doi=10.1109%2fICSTW.2013.26&partnerID=40&md5=7a7c154a34c5f4c9da1b4a79a927148c,"Testing is undisputedly a fundamental verification principle in the software landscape. Today's products require us to effectively handle and test huge, complex systems and in this context to tackle challenging traits like heterogeneity, distribution and controllability to name just a few. The advent of Service-Oriented Architectures with their inherent technological features like dynamics and heterogeneity exacerbated faced challenges, requiring us to evolve our technology. The traditional view of white or black box testing, for example, does not accommodate the multitude of shades of grey one should be able to exploit effectively for system-wide tests. Today, while there are a multitude of approaches for testing single services, there is still few work on methodological system tests for SOAs. In this paper we propose a corresponding workflow for tackling SOA testing and diagnosis, discuss SOA test case generation in more detail, and report preliminary research in that direction. © 2013 IEEE.",Model-Based Testing; Service Oriented Architectures; Test Case Generation,Information services; Service oriented architecture (SOA); Testing; Verification; Model based testing; System test; Technological feature; Test case generation; Software testing,Conference paper,Final,,Scopus,2-s2.0-84883443132,"Model-Based Testing, Service Oriented Architectures, Test Case Generation",4.0
Häser F.; Felderer M.; Breu R.,"Häser, Florian (56310077200); Felderer, Michael (24832720900); Breu, Ruth (55885332900)",56310077200; 24832720900; 55885332900,Test process improvement with documentation driven integration testing,2014,"Proceedings - 2014 9th International Conference on the Quality of Information and Communications Technology, QUATIC 2014",,,6984109,156,161,5.0,3,10.1109/QUATIC.2014.29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921059614&doi=10.1109%2fQUATIC.2014.29&partnerID=40&md5=634d14b73fda52a267350bb24816c632,"Improving the maturity of the test process in an organization, especially but not limited to integration testing, involves obstacles and risks, such as the additional work overhead of the new process. In addition, integration testing descriptions are often too technical not addressing the language needs of the domain. In research cooperations with companies from the insurance and banking domain it turned out that test descriptions and reports are one of the most useful testing artifacts, while doing adhoc testing. This paper presents a bottom up testing approach, which first helps the integration tester in producing a semi-formal test description and report, up to be an enabler for automatic model-based testing in the very end. The presented approach is based on a textual domain specific language that is able to evolve over time. This is done by analyzing the test descriptions and reports automatically with machine learning techniques as well as manually by integration testers. Often recurring test steps or used components are integrated into the test language, making it specially tailored for a specific organization. For each test step implementations can be attached, preparing it for the next iteration. In this paper the methodology and architecture of our integration testing approach are presented together with the underlying language concepts.",Model-Based Integration Testing; Regression Testing; Test Process Improvement,Integration; Iterative methods; Learning systems; Model checking; Online systems; Problem oriented languages; Process engineering; Automatic modeling; Domain specific languages; Machine learning techniques; Model-based integrations; Regression testing; Research cooperation; Test process; Underlying language; Integration testing,Conference paper,Final,,Scopus,2-s2.0-84921059614,"Model-Based Integration Testing, Regression Testing, Test Process Improvement",6.0
Aichernig B.K.; Bauerstätter P.; Jöbstl E.; Kann S.; Korošec R.; Krenn W.; Mateis C.; Schlick R.; Schumi R.,"Aichernig, Bernhard K. (8696540300); Bauerstätter, Priska (57205344990); Jöbstl, Elisabeth (8886885400); Kann, Severin (57203817236); Korošec, Robert (56298240300); Krenn, Willibald (24490805700); Mateis, Cristinel (6506682605); Schlick, Rupert (15063379300); Schumi, Richard (57015618000)",8696540300; 57205344990; 8886885400; 57203817236; 56298240300; 24490805700; 6506682605; 15063379300; 57015618000,Learning and statistical model checking of system response times,2019,Software Quality Journal,27,2,,757,795,38.0,7,10.1007/s11219-018-9432-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059619328&doi=10.1007%2fs11219-018-9432-8&partnerID=40&md5=01f3d52ce847a2727b157d6708a57195,"Since computers have become increasingly more powerful, users are less willing to accept slow responses of systems. Hence, performance testing is important for interactive systems. However, it is still challenging to test if a system provides acceptable performance or can satisfy certain response-time limits, especially for different usage scenarios. On the one hand, there are performance-testing techniques that require numerous costly tests of the system. On the other hand, model-based performance analysis methods have a doubtful model quality. Hence, we propose a combined method to mitigate these issues. We learn response-time distributions from test data in order to augment existing behavioral models with timing aspects. Then, we perform statistical model checking with the resulting model for a performance prediction. Finally, we test the accuracy of our prediction with hypotheses testing of the real system. Our method is implemented with a property-based testing tool with integrated statistical model checking algorithms. We demonstrate the feasibility of our techniques in an industrial case study with a web-service application.",Cost learning; FsCheck; Model-based testing; Performance testing; Property-based testing; Response time; Statistical model checking; User profiles,Response time (computer systems); Web services; Cost learning; FsCheck; Model based testing; Performance testing; Property based testing; Statistical model checking; User profile; Model checking,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85059619328,"Cost learning, FsCheck, Model-based testing, Performance testing, Property-based testing, Response time, Statistical model checking, User profiles",39.0
Lu Y.-F.; Pan M.-X.; Zhang T.; Wang L.-Z.; Li X.-D.,"Lu, Yi-Fei (57210929270); Pan, Min-Xue (35100822300); Zhang, Tian (7404374507); Wang, Lin-Zhang (56379755500); Li, Xuan-Dong (35173053900)",57210929270; 35100822300; 7404374507; 56379755500; 35173053900,Extension to Interaction Flow Modeling Language (IFML) for Android Application Modeling; [面向安卓应用建模的IFML扩展],2019,Ruan Jian Xue Bao/Journal of Software,30,10,,3148,3167,19.0,0,10.13328/j.cnki.jos.005793,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075555071&doi=10.13328%2fj.cnki.jos.005793&partnerID=40&md5=b96f3f55d252ad47eed892b0e041f6fc,,Android application; Interaction flow modeling language; Model-based testing; Model-driven engineering,Flow control; Graphical user interfaces; Model checking; Modeling languages; Semantics; Android applications; Android apps; Design and implementations; Formal definition; Front-end design; Model based testing; Model-driven Engineering; Traditional models; Android (operating system),Article,Final,,Scopus,2-s2.0-85075555071,,
Serbout S.; Benattou M.,"Serbout, Sara (57214708818); Benattou, Mohammed (55497760100)",57214708818; 55497760100,Toward a Constraint Based Test Case Generation of Parallel BPEL Process,2018,International Conference on Multimedia Computing and Systems -Proceedings,2018-May,,8525942,,,,0,10.1109/ICMCS.2018.8525942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063214758&doi=10.1109%2fICMCS.2018.8525942&partnerID=40&md5=a1ba79167e0acbd02c5ae7bb080a5a58,"Business Process Execution Language (BPEL) offers the possibility to implement customized business processes in a record time. Testing is crucial to ensure the quality of BPEL process. The aim of this paper is to propose a constraint based approach to test parallel BPEL process. In our work, we propose an algorithm to transform a parallel BPEL process into a Parallel Control Flow Graph (PCFG), we augment PCFG with pre and post conditions, and we drive then a suite of feasible test cases. © 2018 IEEE.",constraint based testing; model based testing; parallel BPEL process; parallel control flow graph; test case generation,Codes (symbols); Data flow analysis; Flow graphs; Graphic methods; Model checking; Parallel flow; Bpel process; Constraint-based testing; Model based testing; Parallel control; Test case generation; Process control,Conference paper,Final,,Scopus,2-s2.0-85063214758,,
