Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Leveraging Smart Environments for Runtime Resources Management,Software Quality: Methods and Tools for Better Software and Systems,,,,10.1007/978-3-319-71440-0_10,Paolo BarsocchiAntonello CalabróFrancesca LonettiEda MarchettiFilippo Palumbo,2018,http://link.springer.com/chapter/10.1007/978-3-319-71440-0_10,Chapter
Are Your Requirements Covered?,Software Quality: Methods and Tools for Better Software and Systems,,,,10.1007/978-3-319-71440-0_6,Richard Mordinyi,2018,http://link.springer.com/chapter/10.1007/978-3-319-71440-0_6,Chapter
Developers’ Initial Perceptions on TDD Practice: A Thematic Analysis with Distinct Domains and Languages,Agile Processes in Software Engineering and Extreme Programming,,,,10.1007/978-3-319-91602-6_5,Joelma ChomaEduardo M. GuerraTiago Silva da Silva,2018,http://link.springer.com/chapter/10.1007/978-3-319-91602-6_5,Chapter
Theoretical Aspects of Consumer Metrics for Safety & Privacy,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-319-97925-0_54,Thomas FehlmannEberhard Kranich,2018,http://link.springer.com/chapter/10.1007/978-3-319-97925-0_54,Chapter
Towards Minimizing the Impact of Changes Using Search-Based Approach,Search-Based Software Engineering,,,,10.1007/978-3-319-99241-9_14,Bogdan KorelNada AlmasriLuay Tahat,2018,http://link.springer.com/chapter/10.1007/978-3-319-99241-9_14,Chapter
Under-Approximation Generation Driven by Relevance Predicates and Variants,Tests and Proofs,,,,10.1007/978-3-319-92994-1_4,J. JulliandO. KouchnarenkoP.-A. MassonG. Voiron,2018,http://link.springer.com/chapter/10.1007/978-3-319-92994-1_4,Chapter
Conformance Testing and Inference of Embedded Components,Testing Software and Systems,,,,10.1007/978-3-319-99927-2_10,Alexandre PetrenkoFlorent Avellaneda,2018,http://link.springer.com/chapter/10.1007/978-3-319-99927-2_10,Chapter
PIAnalyzer: A Precise Approach for PendingIntent Vulnerability Analysis,Computer Security,,,,10.1007/978-3-319-98989-1_3,Sascha GroßAbhishek TiwariChristian Hammer,2018,http://link.springer.com/chapter/10.1007/978-3-319-98989-1_3,Chapter
Measuring and Evaluating the Performance of Self-Organization Mechanisms Within Collective Adaptive Systems,"Leveraging Applications of Formal Methods, Verification and Validation. Distributed Systems",,,,10.1007/978-3-030-03424-5_14,Benedikt EberhardingerHella PonsarDominik KlumppWolfgang Reif,2018,http://link.springer.com/chapter/10.1007/978-3-030-03424-5_14,Chapter
Test Case Generation with PathCrawler/LTest: How to Automate an Industrial Testing Process,"Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice",,,,10.1007/978-3-030-03427-6_12,Sébastien BardinNikolai KosmatovBruno MarreDavid MentréNicky Williams,2018,http://link.springer.com/chapter/10.1007/978-3-030-03427-6_12,Chapter
Effective Analysis of Attack Trees: A Model-Driven Approach,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-319-89363-1_4,Rajesh KumarStefano SchivoEnno RuijtersBuǧra Mehmet YildizDavid HuistraJacco BrandtArend RensinkMariëlle Stoelinga,2018,http://link.springer.com/chapter/10.1007/978-3-319-89363-1_4,Chapter
Design-Time to Run-Time Verification of Microservices Based Applications,Software Engineering and Formal Methods,,,,10.1007/978-3-319-74781-1_12,Matteo CamilliCarlo BellettiniLorenzo Capra,2018,http://link.springer.com/chapter/10.1007/978-3-319-74781-1_12,Chapter
xR-Based Systems for Mindfulness Based Training in Clinical Settings,"Virtual, Augmented and Mixed Reality: Applications in Health, Cultural Heritage, and Industry",,,,10.1007/978-3-319-91584-5_3,Mark R. CostaDessa Bergen-CicoRocio HererroJessica NavarroRachel RazzaQiu Wang,2018,http://link.springer.com/chapter/10.1007/978-3-319-91584-5_3,Chapter
Design Approaches for Critical Embedded Systems: A Systematic Mapping Study,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-319-94135-6_12,Daniel FeitosaApostolos AmpatzoglouParis AvgeriouFrank J. AffonsoHugo AndradeKatia R. FelizardoElisa Y. Nakagawa,2018,http://link.springer.com/chapter/10.1007/978-3-319-94135-6_12,Chapter
Using a Formal B Model at Runtime in a Demonstration of the ETCS Hybrid Level 3 Concept with Real Trains,"Abstract State Machines, Alloy, B, TLA, VDM, and Z",,,,10.1007/978-3-319-91271-4_20,Dominik HansenMichael LeuschelDavid SchneiderSebastian KringsPhilipp KörnerThomas NaulinNader NayeriFrank Skowron,2018,http://link.springer.com/chapter/10.1007/978-3-319-91271-4_20,Chapter
Robotics and Integrated Formal Methods: Necessity Meets Opportunity,Integrated Formal Methods,,,,10.1007/978-3-319-98938-9_10,Marie FarrellMatt LuckcuckMichael Fisher,2018,http://link.springer.com/chapter/10.1007/978-3-319-98938-9_10,Chapter
Android Stack Machine,Computer Aided Verification,,,,10.1007/978-3-319-96142-2_29,Taolue ChenJinlong HeFu SongGuozhen WangZhilin WuJun Yan,2018,http://link.springer.com/chapter/10.1007/978-3-319-96142-2_29,Chapter
Foundation of a Framework to Support Compliance Checking in Construction Industry,Structured Object-Oriented Formal Language and Method,,,,10.1007/978-3-319-90104-6_7,Wuwei ShenGuangyuan LiChung-Ling LinHongliang Liang,2018,http://link.springer.com/chapter/10.1007/978-3-319-90104-6_7,Chapter
Towards a Runtime Verification Approach for Internet of Things Systems,Current Trends in Web Engineering,,,,10.1007/978-3-030-03056-8_8,Maurizio LeottaDavide AnconaLuca FranceschiniDario OlianasMarina RibaudoFilippo Ricca,2018,http://link.springer.com/chapter/10.1007/978-3-030-03056-8_8,Chapter
Generative Model Driven Design for Agile System Design and Evolution: A Tale of Two Worlds,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-00244-2_1,Tiziana Margaria,2018,http://link.springer.com/chapter/10.1007/978-3-030-00244-2_1,Chapter
Using Abstraction with Interaction Sequences for Interactive System Modelling,Software Technologies: Applications and Foundations,,,,10.1007/978-3-030-04771-9_20,Jessica TurnerJudy BowenSteve Reeves,2018,http://link.springer.com/chapter/10.1007/978-3-030-04771-9_20,Chapter
A Vision for Enhancing Security of Cryptography in Executables,Engineering Secure Software and Systems,,,,10.1007/978-3-319-94496-8_1,Otto BrechelmacherWillibald KrennThorsten Tarrach,2018,http://link.springer.com/chapter/10.1007/978-3-319-94496-8_1,Chapter
Lightweight Verifiable Auditing for Outsourced Database in Cloud Computing,Distributed Computing and Internet Technology,,,,10.1007/978-3-319-72344-0_23,Mayank KumarSyam Kumar Pasupuleti,2018,http://link.springer.com/chapter/10.1007/978-3-319-72344-0_23,Chapter
A Model-Based Testing Method for Dynamic Aspect-Oriented Software,Computational Science and Its Applications – ICCSA 2017,,,,10.1007/978-3-319-62407-5_7,Maria Laura Pires SouzaFábio Fagundes Silveira,2017,http://link.springer.com/chapter/10.1007/978-3-319-62407-5_7,Chapter
Model-Based Testing for Asynchronous Systems,Critical Systems: Formal Methods and Automated Verification,,,,10.1007/978-3-319-67113-0_5,Alexander Graf-BrillHolger Hermanns,2017,http://link.springer.com/chapter/10.1007/978-3-319-67113-0_5,Chapter
WSCLim: A Tool for Model-Based Testing of WS-BPEL Compositions Under Load Conditions,Tests and Proofs,,,,10.1007/978-3-319-61467-0_9,Afef Jmal MaâlejMoez KrichenMohamed Jmaïel,2017,http://link.springer.com/chapter/10.1007/978-3-319-61467-0_9,Chapter
Learning-Based Testing for Safety Critical Automotive Applications,Model-Based Safety and Assessment,,,,10.1007/978-3-319-64119-5_13,Hojat KhosrowjerdiKarl MeinkeAndreas Rasmusson,2017,http://link.springer.com/chapter/10.1007/978-3-319-64119-5_13,Chapter
Fault-Based Testing for Refinement in CSP,Testing Software and Systems,,,,10.1007/978-3-319-67549-7_2,Ana CavalcantiAdenilso Simao,2017,http://link.springer.com/chapter/10.1007/978-3-319-67549-7_2,Chapter
Learning-Based Testing the Sliding Window Behavior of TCP Implementations,Critical Systems: Formal Methods and Automated Verification,,,,10.1007/978-3-319-67113-0_12,Paul Fiterău-BroşteanFalk Howar,2017,http://link.springer.com/chapter/10.1007/978-3-319-67113-0_12,Chapter
Learning-Based Testing of Cyber-Physical Systems-of-Systems: A Platooning Study,Computer Performance Engineering,,,,10.1007/978-3-319-66583-2_9,Karl Meinke,2017,http://link.springer.com/chapter/10.1007/978-3-319-66583-2_9,Chapter
A Comparative Study of Software Testing Techniques,Networked Systems,,,,10.1007/978-3-319-59647-1_27,Meriem AtifiAbdelaziz MamouniAbdelaziz Marzak,2017,http://link.springer.com/chapter/10.1007/978-3-319-59647-1_27,Chapter
Security of Web Application: State of the Art,"Information, Communication and Computing Technology",,,,10.1007/978-981-10-6544-6_17,Habib ur RehmanMohammed NazirKhurram Mustafa,2017,http://link.springer.com/chapter/10.1007/978-981-10-6544-6_17,Chapter
How is Security Testing Done in Agile Teams? A Cross-Case Analysis of Four Software Teams,Agile Processes in Software Engineering and Extreme Programming,,,,10.1007/978-3-319-57633-6_13,Daniela Soares CruzesMichael FeldererTosin Daniel OyetoyanMatthias GanderIrdin Pekaric,2017,http://link.springer.com/chapter/10.1007/978-3-319-57633-6_13,Chapter
A Survey on Testing Distributed and Heterogeneous Systems: The State of the Practice,Software Technologies,,,,10.1007/978-3-319-62569-0_5,Bruno LimaJoão Pascoal Faria,2017,http://link.springer.com/chapter/10.1007/978-3-319-62569-0_5,Chapter
Exploratory Testing of Large-Scale Systems – Testing in the Continuous Integration and Delivery Pipeline,Product-Focused Software Process Improvement,,,,10.1007/978-3-319-69926-4_26,Torvald MårtenssonDaniel StåhlJan Bosch,2017,http://link.springer.com/chapter/10.1007/978-3-319-69926-4_26,Chapter
Test Case/Step Minimization for Visual Programming Language Models and Its Application to Space Systems,Computational Science and Its Applications – ICCSA 2017,,,,10.1007/978-3-319-62407-5_11,Paulo Nolberto dos Santos AlarconValdivino Alexandre de Santiago Júnior,2017,http://link.springer.com/chapter/10.1007/978-3-319-62407-5_11,Chapter
Design Decisions in the Development of a Graphical Language for Risk-Driven Security Testing,Risk Assessment and Risk-Driven Quality Assurance,,,,10.1007/978-3-319-57858-3_8,Gencer ErdoganKetil Stølen,2017,http://link.springer.com/chapter/10.1007/978-3-319-57858-3_8,Chapter
Formal Verification of Financial Algorithms,Automated Deduction – CADE 26,,,,10.1007/978-3-319-63046-5_3,Grant Olney PassmoreDenis Ignatovich,2017,http://link.springer.com/chapter/10.1007/978-3-319-63046-5_3,Chapter
An Approach for Isolated Testing of Self-Organization Algorithms,Software Engineering for Self-Adaptive Systems III. Assurances,,,,10.1007/978-3-319-74183-3_7,Benedikt EberhardingerGerrit AndersHella SeebachFlorian SiefertAlexander KnappWolfgang Reif,2017,http://link.springer.com/chapter/10.1007/978-3-319-74183-3_7,Chapter
Mutation Analysis of Stateflow to Improve the Modelling Analysis,Advances in Computing and Data Sciences,,,,10.1007/978-981-10-5427-3_19,Prachi GoyalManju NandaJ. Jayanthi,2017,http://link.springer.com/chapter/10.1007/978-981-10-5427-3_19,Chapter
Should We Learn Probabilistic Models for Model Checking? A New Approach and An Empirical Study,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-662-54494-5_1,Jingyi WangJun SunQixia YuanJun Pang,2017,http://link.springer.com/chapter/10.1007/978-3-662-54494-5_1,Chapter
Hardness of Deriving Invertible Sequences from Finite State Machines,SOFSEM 2017: Theory and Practice of Computer Science,,,,10.1007/978-3-319-51963-0_12,Robert M. HieronsMohammad Reza MousaviMichael Kirkedal ThomsenUraz Cengiz Türker,2017,http://link.springer.com/chapter/10.1007/978-3-319-51963-0_12,Chapter
From Passive to Active FSM Inference via Checking Sequence Construction,Testing Software and Systems,,,,10.1007/978-3-319-67549-7_8,Alexandre PetrenkoFlorent AvellanedaRoland GrozCatherine Oriat,2017,http://link.springer.com/chapter/10.1007/978-3-319-67549-7_8,Chapter
Multiple Mutation Testing from Finite State Machines with Symbolic Inputs,Testing Software and Systems,,,,10.1007/978-3-319-67549-7_7,Omer Nguena TimoAlexandre PetrenkoS. Ramesh,2017,http://link.springer.com/chapter/10.1007/978-3-319-67549-7_7,Chapter
Challenges in Composing and Decomposing Assurances for Self-Adaptive Systems,Software Engineering for Self-Adaptive Systems III. Assurances,,,,10.1007/978-3-319-74183-3_3,Bradley SchmerlJesper AnderssonThomas VogelMyra B. CohenCecilia M. F. RubiraYuriy BrunAlessandra GorlaFranco ZambonelliLuciano Baresi,2017,http://link.springer.com/chapter/10.1007/978-3-319-74183-3_3,Chapter
Supporting the Integration of New Security Features in Embedded Control Devices Through the Digitalization of Production,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-319-64218-5_30,Tobias RauterJohannes IberMichael KrisperChristian Kreiner,2017,http://link.springer.com/chapter/10.1007/978-3-319-64218-5_30,Chapter
SysML to NuSMV Model Transformation via Object-Orientation,"Cyber Physical Systems. Design, Modeling, and Evaluation",,,,10.1007/978-3-319-51738-4_3,Georgiana CaltaisFlorian Leitner-FischerStefan LeueJannis  Weiser,2017,http://link.springer.com/chapter/10.1007/978-3-319-51738-4_3,Chapter
Event-Based Runtime Verification of Temporal Properties Using Time Basic Petri Nets,NASA Formal Methods,,,,10.1007/978-3-319-57288-8_8,Matteo CamilliAngelo GargantiniPatrizia ScandurraCarlo Bellettini,2017,http://link.springer.com/chapter/10.1007/978-3-319-57288-8_8,Chapter
Abstraction Refinement for the Analysis of Software Product Lines,Tests and Proofs,,,,10.1007/978-3-319-61467-0_1,Ferruccio DamianiReiner HähnleMichael Lienhardt,2017,http://link.springer.com/chapter/10.1007/978-3-319-61467-0_1,Chapter
A New Evolutionary Algorithm for Synchronization,Applications of Evolutionary Computation,,,,10.1007/978-3-319-55849-3_40,Jakub KowalskiAdam Roman,2017,http://link.springer.com/chapter/10.1007/978-3-319-55849-3_40,Chapter
Test Suite Reduction in Idempotence Testing of Infrastructure as Code,Tests and Proofs,,,,10.1007/978-3-319-61467-0_6,Katsuhiko IkeshitaFuyuki IshikawaShinichi Honiden,2017,http://link.springer.com/chapter/10.1007/978-3-319-61467-0_6,Chapter
A Novel Learning Algorithm for Büchi Automata Based on Family of DFAs and Classification Trees,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-662-54577-5_12,Yong LiYu-Fang ChenLijun ZhangDepeng Liu,2017,http://link.springer.com/chapter/10.1007/978-3-662-54577-5_12,Chapter
Asm2C++: A Tool for Code Generation from Abstract State Machines to Arduino,NASA Formal Methods,,,,10.1007/978-3-319-57288-8_21,Silvia BonfantiMarco CarissoniAngelo GargantiniAtif Mashkoor,2017,http://link.springer.com/chapter/10.1007/978-3-319-57288-8_21,Chapter
Towards a Model-Driven Security Assurance of Open Source Components,Software Engineering for Resilient Systems,,,,10.1007/978-3-319-65948-0_5,Irum RaufElena Troubitsyna,2017,http://link.springer.com/chapter/10.1007/978-3-319-65948-0_5,Chapter
Formal Analysis of Predictable Data Flow in Fault-Tolerant Multicore Systems,Formal Aspects of Component Software,,,,10.1007/978-3-319-57666-4_10,Boris MadzarJalil BoudjadarJuergen DingelThomas E. FuhrmanS. Ramesh,2017,http://link.springer.com/chapter/10.1007/978-3-319-57666-4_10,Chapter
Model-Based Testing as a Service for IoT Platforms,"Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications",,,,10.1007/978-3-319-47169-3_55,Abbas AhmadFabrice BouquetElizabeta FourneretFranck Le GallBruno Legeard,2016,http://link.springer.com/chapter/10.1007/978-3-319-47169-3_55,Chapter
Model-Based Testing of Real-Time Distributed Systems,Databases and Information Systems,,,,10.1007/978-3-319-40180-5_19,Jüri VainEvelin HallingGert KanterAivo AnierDeepak Pal,2016,http://link.springer.com/chapter/10.1007/978-3-319-40180-5_19,Chapter
Model-Based Testing of Probabilistic Systems,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-662-49665-7_15,Marcus GerholdMariëlle Stoelinga,2016,http://link.springer.com/chapter/10.1007/978-3-662-49665-7_15,Chapter
Evolving the ETSI Test Description Language,System Analysis and Modeling. Technology-Specific Aspects of Models,,,,10.1007/978-3-319-46613-2_8,Philip MakedonskiGusztáv AdamisMartti KäärikFinn KristoffersenXavier Zeitoun,2016,http://link.springer.com/chapter/10.1007/978-3-319-46613-2_8,Chapter
Learning-Based Cross-Platform Conformance Testing,"Leveraging Applications of Formal Methods, Verification, and Validation",,,,10.1007/978-3-319-51641-7_4,Johannes NeubauerBernhard Steffen,2016,http://link.springer.com/chapter/10.1007/978-3-319-51641-7_4,Chapter
Systematic and Realistic Testing in Simulation of Control Code for Robots in Collaborative Human-Robot Interactions,Towards Autonomous Robotic Systems,,,,10.1007/978-3-319-40379-3_3,Dejanira Araiza-IllanDavid WesternAnthony G. PipeKerstin Eder,2016,http://link.springer.com/chapter/10.1007/978-3-319-40379-3_3,Chapter
Automated Support to Capture and Validate Security Requirements for Mobile Apps,Requirements Engineering Toward Sustainable World,,,,10.1007/978-981-10-3256-1_7,Noorrezam YusopMassila KamalrudinSafiah SidekJohn Grundy,2016,http://link.springer.com/chapter/10.1007/978-981-10-3256-1_7,Chapter
Towards Model Construction Based on Test Cases and GUI Extraction,Testing Software and Systems,,,,10.1007/978-3-319-47443-4_15,Antti Jääskeläinen,2016,http://link.springer.com/chapter/10.1007/978-3-319-47443-4_15,Chapter
On Generating Test Cases from EDT Specifications,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-319-30243-0_1,R. VenkateshUlka ShrotriAmey ZareSupriya Agrawal,2016,http://link.springer.com/chapter/10.1007/978-3-319-30243-0_1,Chapter
Formal Model-Based Constraint Solving and Document Generation,Formal Methods: Foundations and Applications,,,,10.1007/978-3-319-49815-7_1,Michael Leuschel,2016,http://link.springer.com/chapter/10.1007/978-3-319-49815-7_1,Chapter
Towards a Standardized Quality Assessment Framework for OCCI-Controlled Cloud Infrastructures,Cloud Computing and Services Science,,,,10.1007/978-3-319-29582-4_4,Yongzheng Liang,2016,http://link.springer.com/chapter/10.1007/978-3-319-29582-4_4,Chapter
Automatic Generation of Test Cases and Test Purposes from Natural Language,Formal Methods: Foundations and Applications,,,,10.1007/978-3-319-29473-5_9,Sidney NogueiraHugo L. S. AraujoRenata B. S. AraujoJuliano IyodaAugusto Sampaio,2016,http://link.springer.com/chapter/10.1007/978-3-319-29473-5_9,Chapter
Functional Testing of Java Programs,Trends in Functional Programming,,,,10.1007/978-3-319-39110-6_3,Clara Benac EarleLars-Åke Fredlund,2016,http://link.springer.com/chapter/10.1007/978-3-319-39110-6_3,Chapter
Model-Driven Active Automata Learning with LearnLib Studio,"Leveraging Applications of Formal Methods, Verification, and Validation",,,,10.1007/978-3-319-51641-7_8,Oliver BauerJohannes NeubauerMalte Isberner,2016,http://link.springer.com/chapter/10.1007/978-3-319-51641-7_8,Chapter
Risk-Based Interoperability Testing Using Reinforcement Learning,Testing Software and Systems,,,,10.1007/978-3-319-47443-4_4,André ReichstallerBenedikt EberhardingerAlexander KnappWolfgang ReifMarcel Gehlen,2016,http://link.springer.com/chapter/10.1007/978-3-319-47443-4_4,Chapter
How to Assure Correctness and Safety of Medical Software: The Hemodialysis Machine Case Study,"Abstract State Machines, Alloy, B, TLA, VDM, and Z",,,,10.1007/978-3-319-33600-8_30,Paolo ArcainiSilvia BonfantiAngelo GargantiniElvinia Riccobene,2016,http://link.springer.com/chapter/10.1007/978-3-319-33600-8_30,Chapter
Test Generation by Constraint Solving and FSM Mutant Killing,Testing Software and Systems,,,,10.1007/978-3-319-47443-4_3,Alexandre PetrenkoOmer Nguena TimoS. Ramesh,2016,http://link.springer.com/chapter/10.1007/978-3-319-47443-4_3,Chapter
Web Service Test Evolution,Software Quality. The Future of Systems- and Software Development,,,,10.1007/978-3-319-27033-3_12,Harry M. Sneed,2016,http://link.springer.com/chapter/10.1007/978-3-319-27033-3_12,Chapter
Software that Meets Its Intent,"Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications",,,,10.1007/978-3-319-47169-3_47,Marieke HuismanHerbert BosSjaak BrinkkemperArie van DeursenJan Friso GrootePatricia LagoJaco van de PolEelco Visser,2016,http://link.springer.com/chapter/10.1007/978-3-319-47169-3_47,Chapter
A Model Interpreter for Timed Automata,"Leveraging Applications of Formal Methods, Verification and Validation: Foundational Techniques",,,,10.1007/978-3-319-47166-2_17,M. Usman IftikharJonas LundbergDanny Weyns,2016,http://link.springer.com/chapter/10.1007/978-3-319-47166-2_17,Chapter
Cost-Benefit Analysis of Using Dependency Knowledge at Integration Testing,Product-Focused Software Process Improvement,,,,10.1007/978-3-319-49094-6_17,Sahar TahviliMarkus BohlinMehrdad SaadatmandStig LarssonWasif AfzalDaniel Sundmark,2016,http://link.springer.com/chapter/10.1007/978-3-319-49094-6_17,Chapter
Temporal Test Generation for Embedded System Based on Correlation Analysis of Timing Constraints,Software Engineering and Methodology for Emerging Domains,,,,10.1007/978-981-10-3482-4_15,Bo WangXiaoying BaiWenguang ChenXiaoyu Song,2016,http://link.springer.com/chapter/10.1007/978-981-10-3482-4_15,Chapter
Cyber-Physical Systems Engineering,Engineering Trustworthy Software Systems,,,,10.1007/978-3-319-29628-9_5,Bernd-Holger Schlingloff,2016,http://link.springer.com/chapter/10.1007/978-3-319-29628-9_5,Chapter
Combining Model Learning and Model Checking to Analyze TCP Implementations,Computer Aided Verification,,,,10.1007/978-3-319-41540-6_25,Paul Fiterău-BroşteanRamon JanssenFrits Vaandrager,2016,http://link.springer.com/chapter/10.1007/978-3-319-41540-6_25,Chapter
A Case Study for a Bidirectional Transformation Between Heterogeneous Metamodels in QVT Relations,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-319-30243-0_8,Bernhard Westfechtel,2016,http://link.springer.com/chapter/10.1007/978-3-319-30243-0_8,Chapter
Applying Abstract Interpretation to Verify EN-50128 Software Safety Requirements,"Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification",,,,10.1007/978-3-319-33951-1_14,Daniel KästnerChristian Ferdinand,2016,http://link.springer.com/chapter/10.1007/978-3-319-33951-1_14,Chapter
Your Proof Fails? Testing Helps to Find the Reason,Tests and Proofs,,,,10.1007/978-3-319-41135-4_8,Guillaume PetiotNikolai KosmatovBernard BotellaAlain GiorgettiJacques Julliand,2016,http://link.springer.com/chapter/10.1007/978-3-319-41135-4_8,Chapter
Privacy-Preserving Targeted Mobile Advertising: Formal Models and Analysis,Data Privacy Management and Security Assurance,,,,10.1007/978-3-319-47072-6_7,Yang LiuAndrew Simpson,2016,http://link.springer.com/chapter/10.1007/978-3-319-47072-6_7,Chapter
The Kind 2 Model Checker,Computer Aided Verification,,,,10.1007/978-3-319-41540-6_29,Adrien ChampionAlain MebsoutChristoph StickselCesare Tinelli,2016,http://link.springer.com/chapter/10.1007/978-3-319-41540-6_29,Chapter
Transforming CPN Models into Code for TinyOS: A Case Study of the RPL Protocol,Application and Theory of Petri Nets and Concurrency,,,,10.1007/978-3-319-39086-4_10,Lars Michael KristensenVegard Veiset,2016,http://link.springer.com/chapter/10.1007/978-3-319-39086-4_10,Chapter
Model-Based Testing for Composite Web Services in Cloud Brokerage Scenarios,Advances in Service-Oriented and Cloud Computing,,,,10.1007/978-3-319-14886-1_18,Mariam KiranAnthony J. H. Simons,2015,http://link.springer.com/chapter/10.1007/978-3-319-14886-1_18,Chapter
Model-Based Testing from Input Output Symbolic Transition Systems Enriched by Program Calls and Contracts,Testing Software and Systems,,,,10.1007/978-3-319-25945-1_3,Imen BoudhibaChristophe GastonPascale Le GallVirgile Prevosto,2015,http://link.springer.com/chapter/10.1007/978-3-319-25945-1_3,Chapter
Model-Based Robustness Testing in Event-B Using Mutation,Software Engineering and Formal Methods,,,,10.1007/978-3-319-22969-0_10,Aymerick SavaryMarc FrappierMichael LeuschelJean-Louis Lanet,2015,http://link.springer.com/chapter/10.1007/978-3-319-22969-0_10,Chapter
Risk-Driven Vulnerability Testing: Results from eHealth Experiments Using Patterns and Model-Based Approach,Risk Assessment and Risk-Driven Testing,,,,10.1007/978-3-319-26416-5_7,Alexandre VernotteCornel BoteaBruno LegeardArthur MolnarFabien Peureux,2015,http://link.springer.com/chapter/10.1007/978-3-319-26416-5_7,Chapter
Model-Based Analysis for Safety Critical Software,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-319-24255-2_9,Stefan GulanJens HarnischSven JohrRoberto KretschmerStefan RiegerRafael Zalman,2015,http://link.springer.com/chapter/10.1007/978-3-319-24255-2_9,Chapter
"Require, Test and Trace IT",Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-319-19458-5_8,Bernhard K. AichernigKlaus HörmaierFlorian LorberDejan NičkovićStefan Tiran,2015,http://link.springer.com/chapter/10.1007/978-3-319-19458-5_8,Chapter
Bounded Determinization of Timed Automata with Silent Transitions,Formal Modeling and Analysis of Timed Systems,,,,10.1007/978-3-319-22975-1_19,Florian LorberAmnon RosenmannDejan NičkovićBernhard K. Aichernig,2015,http://link.springer.com/chapter/10.1007/978-3-319-22975-1_19,Chapter
A SysML Formal Framework to Combine Discrete and Continuous Simulation for Testing,Formal Methods and Software Engineering,,,,10.1007/978-3-319-25423-4_9,Jean-Marie GauthierFabrice BouquetAhmed HammadFabien Peureux,2015,http://link.springer.com/chapter/10.1007/978-3-319-25423-4_9,Chapter
Case Study: Automatic Test Case Generation for a Secure Cache Implementation,Tests and Proofs,,,,10.1007/978-3-319-21215-9_4,Roderick BloemDaniel HeinFranz RöckRichard Schumi,2015,http://link.springer.com/chapter/10.1007/978-3-319-21215-9_4,Chapter
Mobile Application Verification: A Systematic Mapping Study,Computational Science and Its Applications -- ICCSA 2015,,,,10.1007/978-3-319-21413-9_11,Mehmet SahinogluKoray InckiMehmet S. Aktas,2015,http://link.springer.com/chapter/10.1007/978-3-319-21413-9_11,Chapter
Selective Test Generation Approach for Testing Dynamic Behavioral Adaptations,Testing Software and Systems,,,,10.1007/978-3-319-25945-1_14,Mariam LahamiMoez KrichenHajer BarhoumiMohamed Jmaiel,2015,http://link.springer.com/chapter/10.1007/978-3-319-25945-1_14,Chapter
Safety.Lab: Model-Based Domain Specific Tooling for Safety Argumentation,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-319-24249-1_7,Daniel RatiuMarc ZellerLennart Killian,2015,http://link.springer.com/chapter/10.1007/978-3-319-24249-1_7,Chapter
Applying Automata Learning to Embedded Control Software,Formal Methods and Software Engineering,,,,10.1007/978-3-319-25423-4_5,Wouter SmeenkJoshua MoermanFrits VaandragerDavid N. Jansen,2015,http://link.springer.com/chapter/10.1007/978-3-319-25423-4_5,Chapter
BPEL Integration Testing,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-662-46675-9_5,Seema JehanIngo PillFranz Wotawa,2015,http://link.springer.com/chapter/10.1007/978-3-662-46675-9_5,Chapter
Towards the Generation of Tests in the Test Description Language from Use Case Map Models,SDL 2015: Model-Driven Engineering for Smart Cities,,,,10.1007/978-3-319-24912-4_14,Patrice BouletDaniel AmyotBernard Stepien,2015,http://link.springer.com/chapter/10.1007/978-3-319-24912-4_14,Chapter
Combining Time and Concurrency in Model-Based Statistical Testing of Embedded Real-Time Systems,Software Engineering and Formal Methods,,,,10.1007/978-3-662-49224-6_3,Daniel HommJürgen EckertReinhard German,2015,http://link.springer.com/chapter/10.1007/978-3-662-49224-6_3,Chapter
Efficient Guiding Strategies for Testing of Temporal Properties of Hybrid Systems,NASA Formal Methods,,,,10.1007/978-3-319-17524-9_10,Tommaso DreossiThao DangAlexandre DonzéJames KapinskiXiaoqing JinJyotirmoy V. Deshmukh,2015,http://link.springer.com/chapter/10.1007/978-3-319-17524-9_10,Chapter
Scenario-Based Design and Validation of REST Web Service Compositions,Web Information Systems and Technologies,,,,10.1007/978-3-319-27030-2_10,Irum RaufFaezeh SiavashiDragos TruscanIvan Porres,2015,http://link.springer.com/chapter/10.1007/978-3-319-27030-2_10,Chapter
